pathway_description	pvalue	hub_gene	comparison
KEGG_REGULATION_OF_AUTOPHAGY	0.001996007984031936	ATG5	cluster2_vs_cluster3
KEGG_ENDOCYTOSIS	0.001996007984031936	SH3GLB1	cluster2_vs_cluster3
KEGG_PEROXISOME	0.001996007984031936	ABCD3	cluster2_vs_cluster3
KEGG_MTOR_SIGNALING_PATHWAY	0.001996007984031936	ULK1	cluster2_vs_cluster3
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.001996007984031936	MAP2K1	cluster2_vs_cluster3
KEGG_WNT_SIGNALING_PATHWAY	0.001996007984031936	MAPK8	cluster2_vs_cluster3
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.001996007984031936	MAP2K1	cluster2_vs_cluster3
KEGG_NOTCH_SIGNALING_PATHWAY	0.001996007984031936	HDAC1	cluster2_vs_cluster3
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.001996007984031936	ROCK2	cluster2_vs_cluster3
KEGG_AXON_GUIDANCE	0.001996007984031936	PPP3CC	cluster2_vs_cluster3
KEGG_VEGF_SIGNALING_PATHWAY	0.001996007984031936	MAP2K1	cluster2_vs_cluster3
KEGG_TIGHT_JUNCTION	0.001996007984031936	VAPA	cluster2_vs_cluster3
KEGG_GAP_JUNCTION	0.001996007984031936	MAP2K1	cluster2_vs_cluster3
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.001996007984031936	HLA-DMB	cluster2_vs_cluster3
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001996007984031936	NLRP3	cluster2_vs_cluster3
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.001996007984031936	GRB2	cluster2_vs_cluster3
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.001996007984031936	GRB2	cluster2_vs_cluster3
KEGG_LONG_TERM_POTENTIATION	0.001996007984031936	PPP3CB	cluster2_vs_cluster3
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.001996007984031936	GRB2	cluster2_vs_cluster3
KEGG_LONG_TERM_DEPRESSION	0.001996007984031936	GRIA2	cluster2_vs_cluster3
KEGG_INSULIN_SIGNALING_PATHWAY	0.001996007984031936	MAPK8	cluster2_vs_cluster3
KEGG_GNRH_SIGNALING_PATHWAY	0.001996007984031936	MAP2K1	cluster2_vs_cluster3
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.001996007984031936	RAF1	cluster2_vs_cluster3
KEGG_MELANOGENESIS	0.001996007984031936	PRKACB	cluster2_vs_cluster3
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.001996007984031936	MAPK8	cluster2_vs_cluster3
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.001996007984031936	NKX2-2	cluster2_vs_cluster3
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.001996007984031936	DYNC1I2	cluster2_vs_cluster3
KEGG_ALZHEIMERS_DISEASE	0.001996007984031936	CYCS	cluster2_vs_cluster3
KEGG_PARKINSONS_DISEASE	0.001996007984031936	CYCS	cluster2_vs_cluster3
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.001996007984031936	PPP3CC	cluster2_vs_cluster3
KEGG_HUNTINGTONS_DISEASE	0.001996007984031936	CYCS	cluster2_vs_cluster3
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.001996007984031936	ATP6V1B2	cluster2_vs_cluster3
KEGG_PATHWAYS_IN_CANCER	0.001996007984031936	CUL2	cluster2_vs_cluster3
KEGG_COLORECTAL_CANCER	0.001996007984031936	MLH1	cluster2_vs_cluster3
KEGG_RENAL_CELL_CARCINOMA	0.001996007984031936	CUL2	cluster2_vs_cluster3
KEGG_PANCREATIC_CANCER	0.001996007984031936	MAPK8	cluster2_vs_cluster3
KEGG_ENDOMETRIAL_CANCER	0.001996007984031936	MLH1	cluster2_vs_cluster3
KEGG_GLIOMA	0.001996007984031936	GRB2	cluster2_vs_cluster3
KEGG_PROSTATE_CANCER	0.001996007984031936	RAF1	cluster2_vs_cluster3
KEGG_THYROID_CANCER	0.001996007984031936	TFG	cluster2_vs_cluster3
KEGG_BASAL_CELL_CARCINOMA	0.001996007984031936	FZD2	cluster2_vs_cluster3
KEGG_MELANOMA	0.001996007984031936	FGF14	cluster2_vs_cluster3
KEGG_BLADDER_CANCER	0.001996007984031936	RAF1	cluster2_vs_cluster3
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.001996007984031936	RAF1	cluster2_vs_cluster3
KEGG_ACUTE_MYELOID_LEUKEMIA	0.001996007984031936	RAF1	cluster2_vs_cluster3
KEGG_LYSOSOME	0.003992015968063872	HEXA	cluster2_vs_cluster3
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.003992015968063872	AMACR	cluster2_vs_cluster3
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.003992015968063872	GSTK1	cluster2_vs_cluster3
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.003992015968063872	DGKQ	cluster2_vs_cluster3
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.003992015968063872	CSNK1E	cluster2_vs_cluster3
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.003992015968063872	ADAR	cluster2_vs_cluster3
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.003992015968063872	GRB2	cluster2_vs_cluster3
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.003992015968063872	GRB2	cluster2_vs_cluster3
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.003992015968063872	LIMK1	cluster2_vs_cluster3
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.003992015968063872	PIK3CD	cluster2_vs_cluster3
KEGG_TYPE_II_DIABETES_MELLITUS	0.003992015968063872	CACNA1C	cluster2_vs_cluster3
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.003992015968063872	ATP1A1	cluster2_vs_cluster3
KEGG_LEISHMANIA_INFECTION	0.003992015968063872	HLA-DMB	cluster2_vs_cluster3
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.003992015968063872	RAF1	cluster2_vs_cluster3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.005988023952095809	HEXA	cluster2_vs_cluster3
KEGG_HISTIDINE_METABOLISM	0.005988023952095809	ALDH3A2	cluster2_vs_cluster3
KEGG_ABC_TRANSPORTERS	0.005988023952095809	ABCB9	cluster2_vs_cluster3
KEGG_OOCYTE_MEIOSIS	0.005988023952095809	CDC23	cluster2_vs_cluster3
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.005988023952095809	UBE2N	cluster2_vs_cluster3
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.005988023952095809	TRIM25	cluster2_vs_cluster3
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.005988023952095809	GRB2	cluster2_vs_cluster3
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.005988023952095809	PIP4K2C	cluster2_vs_cluster3
KEGG_VIRAL_MYOCARDITIS	0.005988023952095809	HLA-DMB	cluster2_vs_cluster3
KEGG_TRYPTOPHAN_METABOLISM	0.007984031936127744	HADH	cluster2_vs_cluster3
KEGG_HOMOLOGOUS_RECOMBINATION	0.007984031936127744	EME1	cluster2_vs_cluster3
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.007984031936127744	PLEKHO2	cluster2_vs_cluster3
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.007984031936127744	HLA-DMB	cluster2_vs_cluster3
KEGG_ADHERENS_JUNCTION	0.007984031936127744	NLK	cluster2_vs_cluster3
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.007984031936127744	SPP1	cluster2_vs_cluster3
KEGG_DNA_REPLICATION	0.011976047904191617	PCNA	cluster2_vs_cluster3
KEGG_MISMATCH_REPAIR	0.011976047904191617	PCNA	cluster2_vs_cluster3
KEGG_CELL_CYCLE	0.011976047904191617	MCM6	cluster2_vs_cluster3
KEGG_OTHER_GLYCAN_DEGRADATION	0.013972055888223553	HEXA	cluster2_vs_cluster3
KEGG_ARACHIDONIC_ACID_METABOLISM	0.013972055888223553	GPX1	cluster2_vs_cluster3
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.013972055888223553	HEXA	cluster2_vs_cluster3
KEGG_RETINOL_METABOLISM	0.013972055888223553	ADH5	cluster2_vs_cluster3
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.015968063872255488	EXT2	cluster2_vs_cluster3
KEGG_SPHINGOLIPID_METABOLISM	0.017964071856287425	SPTLC1	cluster2_vs_cluster3
KEGG_APOPTOSIS	0.017964071856287425	PRKAR1A	cluster2_vs_cluster3
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.021956087824351298	PANK3	cluster2_vs_cluster3
KEGG_DILATED_CARDIOMYOPATHY	0.021956087824351298	CACNA1C	cluster2_vs_cluster3
KEGG_TYROSINE_METABOLISM	0.021956087824351298	GOT2	cluster2_vs_cluster3
KEGG_TYPE_I_DIABETES_MELLITUS	0.021956087824351298	HLA-DMB	cluster2_vs_cluster3
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.027944111776447105	CSAD	cluster2_vs_cluster3
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.029940119760479042	ALDH3A2	cluster2_vs_cluster3
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.03592814371257485	FADS2	cluster2_vs_cluster3
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.03592814371257485	CACNA1C	cluster2_vs_cluster3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.03792415169660679	GMPS	cluster2_vs_cluster3
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.041916167664670656	ARPC3	cluster2_vs_cluster3
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.043912175648702596	SGSH	cluster2_vs_cluster3
KEGG_ECM_RECEPTOR_INTERACTION	0.04790419161676647	LAMC1	cluster2_vs_cluster3
