pathway_description	pvalue	hub_gene	comparison
KEGG_RIBOSOME	0.001996007984031936	RPL32	cluster1_vs_cluster2
KEGG_RNA_DEGRADATION	0.001996007984031936	EXOSC8	cluster1_vs_cluster2
KEGG_RNA_POLYMERASE	0.001996007984031936	POLR1B	cluster1_vs_cluster2
KEGG_SPLICEOSOME	0.001996007984031936	SRSF3	cluster1_vs_cluster2
KEGG_PROTEASOME	0.001996007984031936	PSMD7	cluster1_vs_cluster2
KEGG_PROTEIN_EXPORT	0.001996007984031936	SEC11A	cluster1_vs_cluster2
KEGG_PPAR_SIGNALING_PATHWAY	0.001996007984031936	CPT2	cluster1_vs_cluster2
KEGG_MAPK_SIGNALING_PATHWAY	0.001996007984031936	ARRB2	cluster1_vs_cluster2
KEGG_CALCIUM_SIGNALING_PATHWAY	0.001996007984031936	PLCB2	cluster1_vs_cluster2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.001996007984031936	CSF2RB	cluster1_vs_cluster2
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.001996007984031936	PLCB2	cluster1_vs_cluster2
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.001996007984031936	GABRD	cluster1_vs_cluster2
KEGG_P53_SIGNALING_PATHWAY	0.001996007984031936	CHEK1	cluster1_vs_cluster2
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.001996007984031936	ERCC8	cluster1_vs_cluster2
KEGG_REGULATION_OF_AUTOPHAGY	0.001996007984031936	ATG12	cluster1_vs_cluster2
KEGG_PEROXISOME	0.001996007984031936	GSTK1	cluster1_vs_cluster2
KEGG_APOPTOSIS	0.001996007984031936	CASP10	cluster1_vs_cluster2
KEGG_VEGF_SIGNALING_PATHWAY	0.001996007984031936	MAPK12	cluster1_vs_cluster2
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.001996007984031936	HLA-DMA	cluster1_vs_cluster2
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.001996007984031936	HLA-DRB1	cluster1_vs_cluster2
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001996007984031936	CD86	cluster1_vs_cluster2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001996007984031936	CARD9	cluster1_vs_cluster2
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001996007984031936	OTUD5	cluster1_vs_cluster2
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.001996007984031936	POLR3A	cluster1_vs_cluster2
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.001996007984031936	CD4	cluster1_vs_cluster2
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.001996007984031936	PTPN6	cluster1_vs_cluster2
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.001996007984031936	PTPN6	cluster1_vs_cluster2
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.001996007984031936	LCP2	cluster1_vs_cluster2
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.001996007984031936	VAV1	cluster1_vs_cluster2
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.001996007984031936	RAC2	cluster1_vs_cluster2
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.001996007984031936	HLA-DMA	cluster1_vs_cluster2
KEGG_LONG_TERM_DEPRESSION	0.001996007984031936	PLCB2	cluster1_vs_cluster2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.001996007984031936	IKBKG	cluster1_vs_cluster2
KEGG_TYPE_I_DIABETES_MELLITUS	0.001996007984031936	HLA-DMA	cluster1_vs_cluster2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.001996007984031936	MAPK3	cluster1_vs_cluster2
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.001996007984031936	GNAS	cluster1_vs_cluster2
KEGG_ALZHEIMERS_DISEASE	0.001996007984031936	NDUFA2	cluster1_vs_cluster2
KEGG_PARKINSONS_DISEASE	0.001996007984031936	NDUFS6	cluster1_vs_cluster2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.001996007984031936	MAPK11	cluster1_vs_cluster2
KEGG_HUNTINGTONS_DISEASE	0.001996007984031936	CLTA	cluster1_vs_cluster2
KEGG_PRION_DISEASES	0.001996007984031936	C1QC	cluster1_vs_cluster2
KEGG_VIBRIO_CHOLERAE_INFECTION	0.001996007984031936	GNAS	cluster1_vs_cluster2
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.001996007984031936	ATP6V1E1	cluster1_vs_cluster2
KEGG_LEISHMANIA_INFECTION	0.001996007984031936	HLA-DMA	cluster1_vs_cluster2
KEGG_RENAL_CELL_CARCINOMA	0.001996007984031936	CUL2	cluster1_vs_cluster2
KEGG_THYROID_CANCER	0.001996007984031936	HRAS	cluster1_vs_cluster2
KEGG_ACUTE_MYELOID_LEUKEMIA	0.001996007984031936	PML	cluster1_vs_cluster2
KEGG_SMALL_CELL_LUNG_CANCER	0.001996007984031936	ITGB1	cluster1_vs_cluster2
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.001996007984031936	HLA-DRB1	cluster1_vs_cluster2
KEGG_VIRAL_MYOCARDITIS	0.001996007984031936	HLA-DRB1	cluster1_vs_cluster2
KEGG_BETA_ALANINE_METABOLISM	0.003992015968063872	HIBCH	cluster1_vs_cluster2
KEGG_PROPANOATE_METABOLISM	0.003992015968063872	MCEE	cluster1_vs_cluster2
KEGG_DNA_REPLICATION	0.003992015968063872	MCM3	cluster1_vs_cluster2
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.003992015968063872	RFC1	cluster1_vs_cluster2
KEGG_WNT_SIGNALING_PATHWAY	0.003992015968063872	EP300	cluster1_vs_cluster2
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.003992015968063872	C2	cluster1_vs_cluster2
KEGG_GNRH_SIGNALING_PATHWAY	0.003992015968063872	PLCB2	cluster1_vs_cluster2
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.003992015968063872	HLA-DRB1	cluster1_vs_cluster2
KEGG_ALLOGRAFT_REJECTION	0.003992015968063872	HLA-DRB1	cluster1_vs_cluster2
KEGG_O_GLYCAN_BIOSYNTHESIS	0.005988023952095809	B4GALT5	cluster1_vs_cluster2
KEGG_SPHINGOLIPID_METABOLISM	0.005988023952095809	GLA	cluster1_vs_cluster2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.005988023952095809	GUSB	cluster1_vs_cluster2
KEGG_TYROSINE_METABOLISM	0.005988023952095809	COMT	cluster1_vs_cluster2
KEGG_RETINOL_METABOLISM	0.005988023952095809	LRAT	cluster1_vs_cluster2
KEGG_OOCYTE_MEIOSIS	0.005988023952095809	PTTG1	cluster1_vs_cluster2
KEGG_AXON_GUIDANCE	0.005988023952095809	PLXNA1	cluster1_vs_cluster2
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.005988023952095809	PTPN6	cluster1_vs_cluster2
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.005988023952095809	LCP2	cluster1_vs_cluster2
KEGG_LONG_TERM_POTENTIATION	0.005988023952095809	PPP3CB	cluster1_vs_cluster2
KEGG_TYPE_II_DIABETES_MELLITUS	0.005988023952095809	PRKCZ	cluster1_vs_cluster2
KEGG_PANCREATIC_CANCER	0.005988023952095809	RALA	cluster1_vs_cluster2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.007984031936127744	PDHA1	cluster1_vs_cluster2
KEGG_TIGHT_JUNCTION	0.007984031936127744	PARD3	cluster1_vs_cluster2
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.007984031936127744	RAC1	cluster1_vs_cluster2
KEGG_BASAL_CELL_CARCINOMA	0.007984031936127744	SMO	cluster1_vs_cluster2
KEGG_GLYCEROLIPID_METABOLISM	0.00998003992015968	AKR1A1	cluster1_vs_cluster2
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.00998003992015968	HEXA	cluster1_vs_cluster2
KEGG_ENDOCYTOSIS	0.00998003992015968	TSG101	cluster1_vs_cluster2
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.011976047904191617	PLA2G4B	cluster1_vs_cluster2
KEGG_NON_HOMOLOGOUS_END_JOINING	0.011976047904191617	RAD50	cluster1_vs_cluster2
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.011976047904191617	SOS1	cluster1_vs_cluster2
KEGG_TASTE_TRANSDUCTION	0.013972055888223553	TAS2R20	cluster1_vs_cluster2
KEGG_HOMOLOGOUS_RECOMBINATION	0.013972055888223553	MRE11	cluster1_vs_cluster2
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.013972055888223553	PLCB2	cluster1_vs_cluster2
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.015968063872255488	GART	cluster1_vs_cluster2
KEGG_ERBB_SIGNALING_PATHWAY	0.015968063872255488	GRB2	cluster1_vs_cluster2
KEGG_ASTHMA	0.015968063872255488	HLA-DMA	cluster1_vs_cluster2
KEGG_ADHERENS_JUNCTION	0.017964071856287425	CSNK2A1	cluster1_vs_cluster2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.017964071856287425	ACTB	cluster1_vs_cluster2
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.01996007984031936	GCNT2	cluster1_vs_cluster2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.01996007984031936	PLCB2	cluster1_vs_cluster2
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.021956087824351298	SGSH	cluster1_vs_cluster2
KEGG_DILATED_CARDIOMYOPATHY	0.021956087824351298	ADCY7	cluster1_vs_cluster2
KEGG_ABC_TRANSPORTERS	0.023952095808383235	ABCC5	cluster1_vs_cluster2
KEGG_COLORECTAL_CANCER	0.023952095808383235	MSH2	cluster1_vs_cluster2
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.02594810379241517	PPCS	cluster1_vs_cluster2
KEGG_OLFACTORY_TRANSDUCTION	0.027944111776447105	GRK3	cluster1_vs_cluster2
KEGG_INSULIN_SIGNALING_PATHWAY	0.027944111776447105	EIF4E2	cluster1_vs_cluster2
KEGG_MELANOGENESIS	0.027944111776447105	GNAI3	cluster1_vs_cluster2
KEGG_LINOLEIC_ACID_METABOLISM	0.029940119760479042	PLA2G4B	cluster1_vs_cluster2
KEGG_GAP_JUNCTION	0.031936127744510975	GNAS	cluster1_vs_cluster2
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.033932135728542916	EP300	cluster1_vs_cluster2
KEGG_PATHWAYS_IN_CANCER	0.033932135728542916	CTNNA1	cluster1_vs_cluster2
KEGG_BLADDER_CANCER	0.043912175648702596	E2F1	cluster1_vs_cluster2
KEGG_MTOR_SIGNALING_PATHWAY	0.04590818363273453	EIF4E2	cluster1_vs_cluster2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.04790419161676647	CHST12	cluster1_vs_cluster2
KEGG_CELL_CYCLE	0.04790419161676647	ORC1	cluster1_vs_cluster2
