"genes"	"modules"
"CTXN1"	"M1"
"CRLF1"	"Not.Correlated"
"SOCS3"	"M3"
"PLEKHB1"	"M1"
"RGMA"	"M1"
"EFNB3"	"M1"
"KCNJ10"	"M7"
"TRIL"	"M7"
"PTGDS"	"M2"
"FOSL2"	"M3"
"SYNPO"	"M6"
"LYPD1"	"M5"
"CACNA1H"	"M4"
"WWC1"	"M1"
"PCSK1N"	"M1"
"COL9A3"	"M4"
"FXYD6"	"M7"
"CFB"	"M3"
"CLSTN2"	"M1"
"TNR"	"M2"
"HBA1"	"M6"
"VIPR2"	"M2"
"GALNT8"	"M2"
"RASD1"	"M1"
"C1orf61"	"M4"
"SYNPO2"	"M1"
"CPAMD8"	"M1"
"GRIN2A"	"M1"
"PLXNA4"	"M1"
"FBLN5"	"M5"
"KIAA1549L"	"M7"
"CEBPD"	"M6"
"LRRN2"	"M2"
"ZIC2"	"M2"
"CHD5"	"M4"
"SERPINE1"	"M3"
"SPAG6"	"M5"
"BAALC"	"M1"
"FOSB"	"M6"
"SLIT1"	"M4"
"NR4A1"	"M6"
"COL6A3"	"M3"
"GRIA1"	"M5"
"HK2"	"M3"
"KBTBD11"	"M2"
"C9orf24"	"M5"
"C1S"	"M3"
"ADGRL3"	"M2"
"CD24"	"M5"
"S100A10"	"M6"
"RNF43"	"M7"
"GMPR"	"M1"
"SNED1"	"M2"
"TENM3"	"M2"
"DRAXIN"	"M2"
"EFEMP1"	"M1"
"ADAMTSL4"	"M4"
"CYP1B1"	"M3"
"TUBB3"	"M2"
"NTRK3"	"M1"
"LTBP4"	"M1"
"CD163"	"M3"
"IGFBP4"	"M6"
"MATN2"	"M5"
"ECM2"	"M2"
"LRRN1"	"M7"
"SERPINE2"	"M2"
"EPHB2"	"M4"
"ADD2"	"M1"
"SLC4A4"	"M1"
"FRZB"	"M2"
"MYOF"	"M6"
"PDGFRA"	"Not.Correlated"
"DNAH11"	"M5"
"PYGM"	"M2"
"LOX"	"M3"
"SEMA3B"	"M1"
"TNFAIP2"	"M3"
"FBLN2"	"M2"
"MT3"	"Not.Correlated"
"CDON"	"Not.Correlated"
"MECOM"	"M2"
"CCL2"	"M3"
"PLCH2"	"M4"
"GADD45B"	"M6"
"GRIA4"	"M2"
"IFI30"	"M4"
"COL9A2"	"M1"
"GABRG1"	"M2"
"IFITM2"	"M3"
"PI16"	"M1"
"FNDC1"	"M5"
"IFITM1"	"M3"
"NR4A3"	"M6"
"TP73"	"M4"
"ROR2"	"M2"
"FREM1"	"M1"
"SLC14A1"	"M1"
"TNFRSF11B"	"M2"
"STAC2"	"M1"
"RYR3"	"M1"
"GAREM2"	"M4"
"GABBR2"	"M2"
"GDF10"	"M2"
"PAQR6"	"M7"
"NNAT"	"M2"
"NPTX1"	"M4"
"PADI2"	"M2"
"KCNA2"	"M7"
"ZNF385A"	"M1"
"THSD4"	"M3"
"LGALS3"	"M2"
"PLXNB3"	"M1"
"ATP2B2"	"M2"
"CDH23"	"M2"
"EDIL3"	"M2"
"CA3"	"M1"
"ECEL1"	"M4"
"CHRDL1"	"M4"
"KCNB1"	"M1"
"STEAP3"	"M3"
"DNAH2"	"M5"
"PLEKHG4B"	"M1"
"MAMDC4"	"M4"
"ARC"	"M6"
"KCNQ2"	"M4"
"SEZ6L"	"M4"
"CRB1"	"M7"
"SULF1"	"M5"
"PTPRD"	"M2"
"NEFL"	"M6"
"LRRC55"	"M2"
"FKBP5"	"M1"
"ID1"	"M1"
"SEC14L2"	"M1"
"SLC7A2"	"M2"
"HES4"	"M4"
"CFAP157"	"M5"
"DPP6"	"M2"
"PPP2R2B"	"M1"
"DOC2B"	"M4"
"SCG2"	"M3"
"CCDC114"	"M5"
"UBXN10"	"M5"
"SLC6A11"	"M7"
"NNMT"	"M3"
"TEKT1"	"M5"
"GYG2"	"M1"
"ABCC9"	"M2"
"ZFHX4"	"Not.Correlated"
"CSPG5"	"M4"
"FGF1"	"M1"
"HMOX1"	"M3"
"PRR29"	"M5"
"STXBP5L"	"M2"
"ANGPTL4"	"M3"
"TMEM158"	"M6"
"WNT7B"	"M4"
"ICAM1"	"M3"
"GFPT2"	"M1"
"C2orf72"	"M8"
"APBA2"	"M2"
"GPR162"	"M1"
"SCUBE2"	"M1"
"CDH4"	"M2"
"PMP2"	"M7"
"MEGF6"	"M4"
"ATF3"	"M3"
"ADAMTS16"	"M1"
"TJP2"	"M1"
"EEF1A2"	"M4"
"PRSS23"	"M6"
"SPON1"	"M7"
"EMILIN1"	"M3"
"MAP3K19"	"M5"
"C1QL1"	"M2"
"PAX3"	"M1"
"INS-IGF2"	"M2"
"CLEC3B"	"M5"
"CACNA1A"	"M2"
"MKI67"	"M8"
"SOD3"	"M1"
"OLFM2"	"M2"
"CNTN2"	"M2"
"ZBTB16"	"M1"
"SLC47A2"	"M5"
"TOGARAM2"	"M5"
"SHANK2"	"M5"
"ENHO"	"M1"
"MEIS2"	"Not.Correlated"
"CNTFR"	"M2"
"PCDHGB5"	"M1"
"FBXO2"	"M2"
"EHD2"	"M6"
"RARRES2"	"M6"
"ADARB2"	"M2"
"APLN"	"M1"
"FREM2"	"M4"
"ASS1"	"M1"
"GADD45G"	"M1"
"MYH14"	"M1"
"BTBD11"	"M2"
"MN1"	"M2"
"PLP1"	"M1"
"FAM216B"	"M5"
"LINGO1"	"M2"
"DNAAF1"	"M5"
"PDLIM4"	"M1"
"PPL"	"M1"
"NTM"	"M2"
"TMEM163"	"M1"
"HIF3A"	"M2"
"CFAP65"	"M5"
"SEMA3C"	"M1"
"FRMPD2"	"M5"
"RCOR2"	"M4"
"CDH22"	"M1"
"LRRIQ1"	"M5"
"KCNG1"	"M1"
"ADCY8"	"M1"
"ODF3B"	"M5"
"AR"	"M1"
"CLEC19A"	"M2"
"CFI"	"M3"
"MYO3A"	"M4"
"PCDH19"	"M1"
"LOXL2"	"M3"
"NRXN1"	"M4"
"MXRA5"	"M3"
"TSPAN18"	"M1"
"CD36"	"M1"
"SLC6A9"	"M1"
"TMEM132E"	"M2"
"DSP"	"M6"
"GDPD2"	"M2"
"SLC35F1"	"M8"
"DENND2A"	"M1"
"NELL2"	"M5"
"IL17D"	"M7"
"ADAMTSL2"	"M4"
"CPNE6"	"M2"
"IL5RA"	"M5"
"PIEZO2"	"M1"
"RPS4Y1"	"Not.Correlated"
"TENM2"	"M1"
"ZIC5"	"M7"
"MYLK3"	"M5"
"ZNF503"	"M1"
"ADAMTS2"	"M4"
"MYO7A"	"M4"
"MAPK15"	"M5"
"RAMP1"	"M1"
"CCDC8"	"M1"
"FBN2"	"M1"
"CAMK2B"	"M7"
"SLIT3"	"M5"
"CXCL8"	"M3"
"SLC11A1"	"M3"
"F13A1"	"M3"
"TCTEX1D1"	"M5"
"SKAP2"	"M1"
"LRP1B"	"M7"
"CACNA1I"	"M4"
"DACH1"	"M7"
"ELAVL3"	"M4"
"SYNDIG1"	"M2"
"C1orf158"	"M5"
"ADM"	"M3"
"PAPPA2"	"M1"
"ADGRD1"	"M2"
"VSTM2L"	"M2"
"IER3"	"M3"
"SSTR1"	"M2"
"ABI3BP"	"M1"
"CELSR3"	"M4"
"VCAM1"	"M3"
"PHYHIP"	"M1"
"GPR153"	"M4"
"FAM110C"	"M2"
"CNN2"	"M3"
"PCP4L1"	"M4"
"DTHD1"	"M1"
"TMEM132C"	"Not.Correlated"
"ADGRB1"	"M4"
"ITGB3"	"M6"
"SCG3"	"M7"
"COL27A1"	"M1"
"LGR6"	"M1"
"SERPINA5"	"M3"
"SYT7"	"M4"
"ALX4"	"Not.Correlated"
"KIAA2012"	"M5"
"CHRNA4"	"M4"
"RASL12"	"M1"
"GBP2"	"M3"
"FUT9"	"M7"
"EYA2"	"M2"
"C2orf40"	"M1"
"PRDM16"	"M4"
"TOP2A"	"M8"
"COL22A1"	"M1"
"DIO2"	"M4"
"SFRP2"	"M2"
"JPH2"	"M5"
"PPP2R2C"	"M7"
"PRRX1"	"M4"
"MAFF"	"M3"
"MMP17"	"M2"
"NKAIN4"	"M2"
"PTX3"	"M3"
"SRPX2"	"M3"
"PTPRT"	"M7"
"CFAP73"	"M5"
"JPH4"	"M4"
"DNAH10"	"M5"
"PCDH7"	"M2"
"FRMPD3"	"M1"
"HIST2H3C"	"M8"
"COLGALT2"	"M8"
"CFAP77"	"M5"
"SLC7A8"	"M1"
"FAM189A2"	"M2"
"AK7"	"M5"
"LPAR3"	"M2"
"QPRT"	"M1"
"HCN1"	"M2"
"IQCA1"	"M5"
"SLC6A13"	"M2"
"CSF3R"	"M3"
"LGI1"	"M2"
"PCDHGA9"	"M1"
"SOX8"	"M8"
"EGR3"	"M6"
"AIFM3"	"M2"
"WNT2B"	"M6"
"DOCK5"	"M6"
"ST8SIA2"	"M4"
"NOTUM"	"M4"
"NRG1"	"M4"
"COL11A1"	"M8"
"FAM198A"	"M2"
"HOXB13"	"Not.Correlated"
"CHST9"	"M1"
"CBS"	"M2"
"KIF26A"	"M4"
"GFRA2"	"M2"
"DDX3Y"	"Not.Correlated"
"FAM81B"	"M5"
"KLF2"	"M6"
"RORB"	"M2"
"EYA4"	"M5"
"CA12"	"M3"
"APOD"	"M2"
"IRX1"	"M2"
"DSG2"	"M2"
"SALL3"	"Not.Correlated"
"LMX1B"	"M4"
"PCDHGA2"	"M1"
"ADIRF"	"M1"
"CPXM2"	"M3"
"SSC5D"	"M1"
"ENTPD2"	"M1"
"MMP9"	"M3"
"ABCC3"	"M6"
"SLC27A6"	"Not.Correlated"
"SBSPON"	"M1"
"CFAP74"	"M5"
"ANGPT1"	"M2"
"ROBO2"	"Not.Correlated"
"ADAM12"	"M3"
"LRRC46"	"M5"
"GRIN2C"	"M2"
"KCNK3"	"M4"
"ASCL1"	"M8"
"MOXD1"	"M1"
"MET"	"M3"
"DMTN"	"M1"
"NANOS1"	"M2"
"NGFR"	"M4"
"LRRN3"	"M1"
"SAPCD2"	"M4"
"RYR1"	"M2"
"ATP1A3"	"M1"
"FXYD1"	"M2"
"CXCL5"	"M1"
"ST6GALNAC2"	"M1"
"PCDHGA11"	"M1"
"GNG4"	"M2"
"LRRC2"	"M6"
"RRAD"	"M2"
"PLAU"	"M3"
"FIGN"	"M2"
"CSMD3"	"M2"
"PPP1R32"	"M5"
"LAMP5"	"M1"
"CACNA1E"	"M2"
"SHISA6"	"M2"
"ARMC4"	"M5"
"SUSD2"	"M3"
"DLEC1"	"M5"
"PCDHGB4"	"M1"
"KCNJ16"	"M5"
"FAM69C"	"M2"
"FAM189A1"	"M1"
"C1QTNF3"	"M1"
"CACNA1G"	"M4"
"ACSBG1"	"M1"
"EDA"	"M7"
"ST8SIA3"	"M4"
"GAP43"	"M3"
"SCX"	"M4"
"TTC34"	"M5"
"LIF"	"M3"
"COL28A1"	"M2"
"REEP1"	"M2"
"MAB21L2"	"M2"
"CXCL2"	"M3"
"WDR38"	"M5"
"GREB1L"	"M2"
"VLDLR"	"M1"
"NALCN"	"M7"
"DIO3"	"M3"
"CDHR3"	"M5"
"CSMD1"	"M2"
"AJAP1"	"M2"
"EGR2"	"M6"
"PRODH"	"M2"
"RSPO4"	"M3"
"DAW1"	"M5"
"SLC24A4"	"M1"
"DCDC2"	"M5"
"C2orf88"	"M1"
"C11orf96"	"M3"
"LGI4"	"M2"
"BMP2"	"M1"
"CALB1"	"M7"
"LCAT"	"M1"
"ATOH8"	"M1"
"PCDHGA3"	"M1"
"LHX2"	"M4"
"ELFN2"	"M2"
"SGCD"	"M2"
"DNAH12"	"M5"
"GPC6"	"M4"
"PCDHGA7"	"M1"
"HSPB6"	"M1"
"CACNG4"	"M2"
"SYT16"	"M1"
"ANKRD65"	"M4"
"FHDC1"	"M4"
"FLRT1"	"M7"
"ELF3"	"M4"
"ATP13A4"	"M7"
"FMOD"	"Not.Correlated"
"XKR4"	"M1"
"C5AR1"	"M6"
"COL8A1"	"M5"
"MTRNR2L12"	"Not.Correlated"
"FAM183A"	"M5"
"SDC1"	"M4"
"WNT3A"	"M4"
"S100A9"	"M3"
"HLA-DRB5"	"M3"
"CRTAC1"	"M2"
"VWA5B1"	"M5"
"LUZP2"	"M9"
"COMP"	"M4"
"F5"	"M1"
"IL11RA"	"M1"
"ANGPTL1"	"M1"
"CABP7"	"M4"
"DAO"	"M1"
"C2CD4C"	"M4"
"ROPN1L"	"M5"
"PPP1R1A"	"M1"
"PCDHGB1"	"M1"
"HPCAL4"	"M5"
"MYO16"	"M2"
"FSTL5"	"M1"
"DOK6"	"M7"
"BCL3"	"M3"
"FAM171A2"	"M2"
"SEZ6L2"	"M2"
"ELFN1"	"M4"
"HSPA6"	"M3"
"TSHZ2"	"M1"
"FBP2"	"M4"
"GPC3"	"M4"
"IGSF11"	"M1"
"CXCL1"	"M3"
"ANKRD66"	"M5"
"PRR36"	"M1"
"C21orf62"	"M5"
"KRT17"	"M6"
"ADAP1"	"M4"
"PRIMA1"	"M2"
"FRAS1"	"M1"
"SLC25A18"	"M2"
"CAPSL"	"M5"
"POSTN"	"M6"
"HP"	"M6"
"AFF2"	"M4"
"SFRP4"	"M1"
"GXYLT2"	"M1"
"ERICH3"	"M5"
"LIPG"	"M5"
"KIAA1456"	"M2"
"COL21A1"	"M1"
"PLVAP"	"M3"
"ALS2CL"	"M4"
"OGDHL"	"M5"
"CCDC187"	"M4"
"RSPO2"	"M2"
"HIST1H3B"	"M8"
"ZNF536"	"M4"
"LDLRAD2"	"M5"
"SHC4"	"M1"
"RASL10B"	"M1"
"POU3F4"	"M2"
"DPP10"	"M2"
"ADAM33"	"M4"
"EFNA5"	"M2"
"LRRC10B"	"M5"
"CRIP1"	"M6"
"PTGS2"	"M3"
"CPXM1"	"M2"
"SUSD4"	"M2"
"TGFB1I1"	"M3"
"SLC16A12"	"M4"
"TFCP2L1"	"M1"
"ANGPTL6"	"M4"
"STUM"	"M9"
"ZDHHC22"	"M8"
"C2orf82"	"M2"
"ZIC4"	"M2"
"MFAP2"	"M4"
"MKX"	"M1"
"KDM5D"	"Not.Correlated"
"GPR27"	"M2"
"TUBB4A"	"M9"
"CA9"	"M3"
"ADAMTS15"	"M3"
"MDFI"	"M2"
"HAPLN1"	"M2"
"FIBCD1"	"M1"
"CDH20"	"M7"
"AKR1C1"	"M1"
"ATP2B3"	"M4"
"NCAM2"	"M2"
"LRRC9"	"M5"
"GDA"	"M2"
"PCDHGA12"	"M1"
"KRT18"	"M6"
"OLIG1"	"M9"
"CRABP2"	"M4"
"MEIS3"	"M1"
"FAM83G"	"M4"
"RBM20"	"M1"
"USP9Y"	"Not.Correlated"
"STC2"	"M3"
"CCDC39"	"M5"
"RAPGEF3"	"M1"
"CCDC85A"	"M1"
"PNPLA7"	"M1"
"IGF2BP1"	"M2"
"WSCD2"	"M2"
"LRP2"	"M1"
"KIF19"	"M5"
"HR"	"M1"
"MYH7"	"M1"
"BRSK2"	"M4"
"NR4A2"	"M6"
"METTL7B"	"M2"
"GRIK1"	"M7"
"CACNA2D1"	"M2"
"DLK1"	"M4"
"CERCAM"	"M1"
"CFAP100"	"M5"
"CACNG7"	"M2"
"CXCL6"	"M3"
"PTH1R"	"M4"
"DYDC2"	"M5"
"FAM46B"	"M3"
"WIF1"	"M4"
"CSDC2"	"M1"
"CHDH"	"M7"
"GALNT3"	"M1"
"GRIK3"	"M9"
"A2ML1"	"M2"
"DLGAP1"	"M6"
"FAM181A"	"M5"
"TKTL1"	"M2"
"IRX3"	"M2"
"IGF2BP2"	"M1"
"PLIN1"	"M2"
"TREM1"	"M3"
"DNAH3"	"M5"
"PPFIA2"	"M7"
"PLAUR"	"M3"
"OLFML1"	"M2"
"C11orf88"	"M5"
"DKK1"	"M3"
"GRIN2B"	"M1"
"KCNH1"	"M1"
"SRPK3"	"M4"
"SOX1"	"M2"
"IRX2"	"M2"
"SIK1"	"M3"
"PLIN4"	"M1"
"KLHDC8A"	"M5"
"SPHK1"	"M3"
"FAM166B"	"M5"
"PRDM6"	"M2"
"C11orf87"	"M2"
"GRM3"	"M4"
"CALY"	"M5"
"C1QL4"	"M7"
"CUX2"	"M4"
"ACBD7"	"M7"
"ST6GAL2"	"M8"
"GPRC5A"	"M3"
"TTC29"	"M5"
"PRICKLE1"	"M1"
"SGPP2"	"M5"
"DNAI1"	"M5"
"FBXL16"	"M1"
"PCDHA10"	"M3"
"CYP4F12"	"M2"
"HOXB3"	"M1"
"TMEM132B"	"M9"
"NPTX2"	"M1"
"SCRG1"	"M1"
"TRIM29"	"M1"
"SPOCD1"	"M3"
"ECHDC2"	"M5"
"DGKG"	"M2"
"SLC9A3"	"M4"
"ADAMTSL1"	"M1"
"DCHS2"	"M2"
"BEGAIN"	"M2"
"ADGB"	"M5"
"NKX6-1"	"M1"
"CDH13"	"M1"
"CCDC78"	"M5"
"BRINP2"	"M4"
"MUSK"	"M2"
"COL26A1"	"M2"
"IGF1"	"M5"
"PPP1R13L"	"M2"
"CLDN11"	"M3"
"B4GALNT1"	"M4"
"CCDC33"	"M5"
"MLIP"	"M1"
"C2"	"M3"
"LRRC71"	"M5"
"C16orf89"	"M2"
"SAMD11"	"M2"
"EPOP"	"M1"
"NPNT"	"M8"
"PCDHA4"	"M2"
"TSTD1"	"M1"
"LOXL1"	"M1"
"HS3ST3A1"	"M3"
"COL15A1"	"M6"
"RBPMS"	"M1"
"IL20RA"	"M4"
"PRDM8"	"M1"
"GPR37"	"M1"
"GDF7"	"M6"
"NKAIN3"	"M2"
"ISLR"	"M6"
"CBSL"	"M1"
"FOXG1"	"M4"
"EPHA3"	"M4"
"PEBP4"	"M2"
"SCN9A"	"M5"
"PRG4"	"M2"
"GRIN2D"	"M2"
"CD38"	"M2"
"ADAMTSL3"	"M2"
"TMEM74"	"M2"
"GSTM1"	"M1"
"LRRTM4"	"M8"
"ADORA1"	"M3"
"ACAN"	"M2"
"UNC5C"	"M2"
"IRX5"	"M1"
"CFD"	"M6"
"SOX21"	"Not.Correlated"
"WNT11"	"M2"
"EFCAB10"	"M5"
"FAM155B"	"M7"
"OLIG2"	"M9"
"HOXA3"	"M1"
"NOS1"	"M2"
"FMO3"	"M2"
"DUSP5"	"M3"
"CCDC177"	"M2"
"ASPM"	"M8"
"CYTL1"	"M1"
"NHLRC4"	"M5"
"GPD1"	"M1"
"GABRB3"	"M1"
"ABCB11"	"M2"
"ANPEP"	"M3"
"CXCL3"	"M3"
"SEMA3D"	"M1"
"MTRNR2L8"	"M4"
"ENPP5"	"M5"
"NXPH3"	"M4"
"S100A1"	"M1"
"SLC24A2"	"Not.Correlated"
"DISP3"	"M4"
"KCNJ12"	"M7"
"CADM2"	"M7"
"CLDN1"	"M6"
"HIST1H3C"	"M8"
"RAMP3"	"M6"
"POLR2J2"	"M1"
"DCX"	"M4"
"CNTN5"	"M2"
"PCDH8"	"M4"
"IL32"	"M3"
"SYT1"	"M4"
"BCAS1"	"M9"
"EPHA7"	"M2"
"FSTL4"	"M2"
"STK32A"	"M2"
"HRH1"	"M3"
"GNG3"	"M4"
"NLGN4Y"	"Not.Correlated"
"KCNA5"	"M5"
"PRSS12"	"M4"
"DDIT4L"	"M2"
"MUC20"	"M1"
"HRK"	"M2"
"ADAM8"	"M3"
"MYRF"	"M2"
"G0S2"	"M3"
"GMNC"	"M5"
"UTY"	"Not.Correlated"
"DSCAM"	"M7"
"CDCP1"	"M3"
"COL2A1"	"M2"
"MYH15"	"M5"
"HHATL"	"M2"
"PCDHB2"	"M2"
"PCP4"	"M2"
"STOML3"	"M5"
"SEMA3A"	"M5"
"MT1F"	"M1"
"FAM92B"	"M5"
"EMILIN3"	"M1"
"CLIC6"	"M1"
"LDOC1"	"Not.Correlated"
"FOXP2"	"M2"
"SLITRK1"	"M2"
"CYGB"	"M5"
"KCNJ3"	"M7"
"PHYHD1"	"M1"
"PPARG"	"M1"
"CYP4F11"	"M1"
"IGSF9"	"M8"
"GPR17"	"M9"
"DRD1"	"M1"
"CCL3"	"M6"
"PAPLN"	"M3"
"CNTNAP2"	"M4"
"SLC22A3"	"M2"
"TENM1"	"Not.Correlated"
"PERP"	"M1"
"BTBD19"	"M1"
"NT5E"	"M6"
"CYP26B1"	"Not.Correlated"
"KCNJ4"	"M4"
"IL6"	"M3"
"RIMS4"	"M1"
"ANKUB1"	"M5"
"FLRT3"	"M4"
"GSG1L"	"M1"
"GABRG3"	"M4"
"GFRA1"	"M9"
"NPR3"	"M1"
"CAMSAP3"	"M2"
"SCN1A"	"M5"
"KCNC3"	"M2"
"BTBD17"	"M8"
"NPPC"	"M1"
"ADIPOQ"	"M2"
"ST6GALNAC5"	"M4"
"CATIP"	"M5"
"CCDC163"	"M2"
"P2RX5"	"M4"
"CDHR1"	"M7"
"HSPB7"	"M1"
"TBX1"	"M4"
"CSF3"	"M3"
"TSHR"	"M4"
"C8orf4"	"M3"
"CISH"	"M4"
"WNT3"	"M1"
"KCND2"	"M7"
"SHANK1"	"M1"
"VGF"	"M3"
"KLF5"	"M2"
"PKP2"	"M1"
"SLC13A3"	"M2"
"LRAT"	"Not.Correlated"
"NTNG2"	"M1"
"KCNA3"	"M4"
"HES5"	"M4"
"SLITRK2"	"M4"
"LGR5"	"M2"
"KIAA1614"	"M1"
"EPHA6"	"M2"
"SPON2"	"M6"
"RGS11"	"M2"
"ADRA2A"	"M2"
"KIAA1644"	"Not.Correlated"
"RASL10A"	"M2"
"RASEF"	"M4"
"TEKT4"	"M5"
"PTCHD1"	"M1"
"PLEKHG4"	"M2"
"SH3GL2"	"M5"
"RSPH10B"	"M5"
"ARX"	"Not.Correlated"
"FOSL1"	"M3"
"NR2E1"	"M4"
"GCGR"	"M4"
"CPNE4"	"Not.Correlated"
"ADGRA1"	"M5"
"NDNF"	"M2"
"CERKL"	"M5"
"FNDC7"	"M5"
"PTPRQ"	"M2"
"DNAI2"	"M5"
"PPP1R14C"	"M5"
"GAS2L2"	"M5"
"HIST2H3A"	"M8"
"BIRC3"	"M3"
"ZIC3"	"M1"
"ONECUT2"	"M4"
"SHISA9"	"M1"
"HOXB2"	"M1"
"SLC39A12"	"M2"
"CLDN10"	"M4"
"TMEM176A"	"M3"
"CNGA3"	"M2"
"SNCG"	"M4"
"VSNL1"	"Not.Correlated"
"MMP24"	"M1"
"ITGBL1"	"M2"
"PLCXD3"	"M5"
"SLC4A11"	"M4"
"C1orf87"	"M5"
"ACPP"	"M4"
"SLC24A3"	"M7"
"GRID2"	"M7"
"DKK2"	"Not.Correlated"
"EPHA5"	"M7"
"HS6ST3"	"M2"
"TNFRSF13C"	"M4"
"DES"	"M3"
"ALDH3A1"	"M5"
"TF"	"M5"
"SNAP91"	"Not.Correlated"
"DSC3"	"M2"
"CCDC190"	"M2"
"RAB7B"	"M4"
"MME"	"M3"
"TIMP4"	"M1"
"CYP4F3"	"M2"
"TRIM71"	"M2"
"CHRDL2"	"M3"
"VTN"	"M1"
"LRRC3"	"M3"
"PRR18"	"M1"
"CLVS2"	"M8"
"CHIT1"	"M3"
"FAM155A"	"M4"
"MARCH10"	"M5"
"PCDHA11"	"M1"
"AKR1C2"	"M1"
"OTOF"	"M4"
"TTC6"	"M5"
"ELOVL2"	"M8"
"NEU4"	"M7"
"HAP1"	"M3"
"ADORA2B"	"M4"
"NTS"	"M5"
"HS3ST3B1"	"M3"
"EMX2"	"M4"
"ARHGEF28"	"Not.Correlated"
"ATCAY"	"M9"
"SPTB"	"M5"
"CAMKV"	"M1"
"RGS4"	"M3"
"KCNE5"	"M7"
"PDZRN4"	"M7"
"SEZ6"	"M8"
"HOXC12"	"Not.Correlated"
"CLEC18B"	"M1"
"TMEM54"	"M1"
"SLCO1C1"	"M7"
"WNK4"	"M1"
"SLC18A3"	"M4"
"CA8"	"M4"
"FOXA1"	"M5"
"FMO1"	"M1"
"ZFY"	"Not.Correlated"
"BMP5"	"M1"
"C10orf107"	"M5"
"PTPRN"	"M3"
"GABRA2"	"M7"
"FAM20A"	"M3"
"ALDH1A3"	"M3"
"GALNT9"	"M4"
"PTGIS"	"M1"
"PRKCG"	"M4"
"TOX"	"M7"
"CBFA2T3"	"M2"
"GRIN1"	"M4"
"RORC"	"M1"
"ADAMTS18"	"M2"
"LGI3"	"M2"
"GABRA5"	"M1"
"CROCC2"	"M5"
"ISLR2"	"M4"
"RASSF10"	"M2"
"PI3"	"M3"
"SLC6A17"	"M4"
"KCNN2"	"M1"
"SIAH3"	"M2"
"PZP"	"M5"
"GRIN3B"	"M5"
"KCNE1"	"M5"
"TMEFF1"	"M2"
"SCG5"	"M4"
"CACNA1B"	"M4"
"KIRREL3"	"Not.Correlated"
"ARHGAP20"	"M2"
"RUNX3"	"M2"
"SAA1"	"M3"
"PLPPR3"	"M2"
"PRPH"	"M3"
"RBM24"	"M5"
"PAPPA"	"M3"
"SCN5A"	"M4"
"IL13RA2"	"M5"
"ADGRG2"	"Not.Correlated"
"SCUBE3"	"M2"
"APOL4"	"M3"
"ELL3"	"M4"
"SLCO4A1"	"M3"
"NRGN"	"M6"
"HAPLN4"	"M2"
"KCNMB1"	"M5"
"LOXL4"	"M6"
"WIPF3"	"M1"
"BCL11A"	"M4"
"RASL11B"	"M4"
"IL1B"	"M3"
"SRRM4"	"M2"
"PCDHB4"	"M2"
"ECT2L"	"M5"
"NRN1"	"M1"
"RSPH10B2"	"M5"
"RPE65"	"M1"
"C7"	"Not.Correlated"
"FNDC10"	"M8"
"FMO2"	"M2"
"MMP19"	"M3"
"PNMT"	"M1"
"UNC5A"	"M4"
"DMKN"	"M1"
"RGL3"	"M3"
