pathway_id	description	pval	cancer_group	gene_parsed_by
path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	0.829412855512682	LGG	FOLH1
path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.7283114234871194	LGG	FOLH1
path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	2.559421042087211e-5	LGG	FOLH1
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	0.24804896191039041	LGG	FOLH1
path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0.010393048021965189	LGG	FOLH1
path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	0.04120063384325976	LGG	FOLH1
path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	0.058045518726376095	LGG	FOLH1
path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	0.04532276542709503	LGG	FOLH1
path:hsa00470	D-Amino acid metabolism - Homo sapiens (human)	0.044368970309981444	LGG	FOLH1
path:hsa00480	Glutathione metabolism - Homo sapiens (human)	0.022669771745624664	LGG	FOLH1
path:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	0.019343456467323182	LGG	FOLH1
path:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	0.03728673281220856	LGG	FOLH1
path:hsa00511	Other glycan degradation - Homo sapiens (human)	2.7446212945052333e-4	LGG	FOLH1
path:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0.481308918188179	LGG	FOLH1
path:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	0.04462022134710569	LGG	FOLH1
path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	0.003162570330419643	LGG	FOLH1
path:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	0.05143590387724093	LGG	FOLH1
path:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	0.005566528485203121	LGG	FOLH1
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	0.22176510232092306	LGG	FOLH1
path:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	0.9694903055476033	LGG	FOLH1
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	1.784882538625668e-4	LGG	FOLH1
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	0.5834202234190142	LGG	FOLH1
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	0.3680634022211554	LGG	FOLH1
path:hsa00561	Glycerolipid metabolism - Homo sapiens (human)	0.6626407607416287	LGG	FOLH1
path:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	0.049628980447086066	LGG	FOLH1
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	0.0034064862485357963	LGG	FOLH1
path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	0.5593392311074699	LGG	FOLH1
path:hsa00565	Ether lipid metabolism - Homo sapiens (human)	0.9336329553741943	LGG	FOLH1
path:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.0448269496844433	LGG	FOLH1
path:hsa00591	Linoleic acid metabolism - Homo sapiens (human)	0.23785732995993336	LGG	FOLH1
path:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	7.44659592468095e-4	LGG	FOLH1
path:hsa00600	Sphingolipid metabolism - Homo sapiens (human)	0.0018996376376215992	LGG	FOLH1
path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	0.6130998952696527	LGG	FOLH1
path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	0.10395493869252605	LGG	FOLH1
path:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	0.180986410556487	LGG	FOLH1
path:hsa00620	Pyruvate metabolism - Homo sapiens (human)	0.0455012242744458	LGG	FOLH1
path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	0.45755700554552836	LGG	FOLH1
path:hsa00640	Propanoate metabolism - Homo sapiens (human)	0.0045525447274841055	LGG	FOLH1
path:hsa00650	Butanoate metabolism - Homo sapiens (human)	0.00998415510773704	LGG	FOLH1
path:hsa00670	One carbon pool by folate - Homo sapiens (human)	6.355564101674439e-5	LGG	FOLH1
path:hsa00730	Thiamine metabolism - Homo sapiens (human)	0.11242575220161234	LGG	FOLH1
path:hsa00740	Riboflavin metabolism - Homo sapiens (human)	0.016609928300650136	LGG	FOLH1
path:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	0.608723842831663	LGG	FOLH1
path:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	1.3709105075629758e-6	LGG	FOLH1
path:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	3.789949428899055e-5	LGG	FOLH1
path:hsa00780	Biotin metabolism - Homo sapiens (human)	0.004626654364517304	LGG	FOLH1
path:hsa00785	Lipoic acid metabolism - Homo sapiens (human)	0.8142596840517139	LGG	FOLH1
path:hsa00790	Folate biosynthesis - Homo sapiens (human)	0.6776980817786687	LGG	FOLH1
path:hsa00830	Retinol metabolism - Homo sapiens (human)	0.656245205847775	LGG	FOLH1
path:hsa00860	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	0.5268219292622665	LGG	FOLH1
path:hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	0.658033999006344	LGG	FOLH1
path:hsa00910	Nitrogen metabolism - Homo sapiens (human)	0.012392091916384046	LGG	FOLH1
path:hsa00920	Sulfur metabolism - Homo sapiens (human)	0.006930005929490777	LGG	FOLH1
path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	0.4175234312025916	LGG	FOLH1
path:hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	0.11797137750959905	LGG	FOLH1
path:hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	0.007758471163471675	LGG	FOLH1
path:hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	8.483414849113703e-4	LGG	FOLH1
path:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	0.6260641847352626	LGG	FOLH1
path:hsa01100	Metabolic pathways - Homo sapiens (human)	0.05581985598403454	LGG	FOLH1
path:hsa01200	Carbon metabolism - Homo sapiens (human)	0.06049209994788785	LGG	FOLH1
path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	0.21365675169024442	LGG	FOLH1
path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	0.0022132553438952945	LGG	FOLH1
path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	0.1896572284616172	LGG	FOLH1
path:hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	0.0010702921654198916	LGG	FOLH1
path:hsa01250	Biosynthesis of nucleotide sugars - Homo sapiens (human)	0.01928478302081482	LGG	FOLH1
path:hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	0.1015409928052726	LGG	FOLH1
path:hsa01522	Endocrine resistance - Homo sapiens (human)	0.46607864621914363	LGG	FOLH1
path:hsa01523	Antifolate resistance - Homo sapiens (human)	0.05475175154640895	LGG	FOLH1
path:hsa01524	Platinum drug resistance - Homo sapiens (human)	0.03214500359825709	LGG	FOLH1
path:hsa02010	ABC transporters - Homo sapiens (human)	0.14660439191811195	LGG	FOLH1
path:hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	0.09650625693008545	LGG	FOLH1
path:hsa03010	Ribosome - Homo sapiens (human)	0.0965157402284504	LGG	FOLH1
path:hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)	0.4602233499288002	LGG	FOLH1
path:hsa03015	mRNA surveillance pathway - Homo sapiens (human)	0.75070691759006	LGG	FOLH1
path:hsa03018	RNA degradation - Homo sapiens (human)	0.467646187957968	LGG	FOLH1
path:hsa03020	RNA polymerase - Homo sapiens (human)	0.0529686547224652	LGG	FOLH1
path:hsa03022	Basal transcription factors - Homo sapiens (human)	0.36084446649138846	LGG	FOLH1
path:hsa03030	DNA replication - Homo sapiens (human)	0.6767738733433848	LGG	FOLH1
path:hsa03040	Spliceosome - Homo sapiens (human)	0.11458136200925094	LGG	FOLH1
path:hsa03050	Proteasome - Homo sapiens (human)	0.1512557091819903	LGG	FOLH1
path:hsa03060	Protein export - Homo sapiens (human)	0.07042858449677515	LGG	FOLH1
path:hsa03320	PPAR signaling pathway - Homo sapiens (human)	0.14704052047087707	LGG	FOLH1
path:hsa03410	Base excision repair - Homo sapiens (human)	0.4849260827407177	LGG	FOLH1
path:hsa03420	Nucleotide excision repair - Homo sapiens (human)	0.14126924219006318	LGG	FOLH1
path:hsa03430	Mismatch repair - Homo sapiens (human)	0.9015490847615968	LGG	FOLH1
path:hsa03440	Homologous recombination - Homo sapiens (human)	0.15160988725180075	LGG	FOLH1
path:hsa03450	Non-homologous end-joining - Homo sapiens (human)	0.5552248904576305	LGG	FOLH1
path:hsa03460	Fanconi anemia pathway - Homo sapiens (human)	0.7109006773276267	LGG	FOLH1
path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	1.9613763497161913e-5	LGG	FOLH1
path:hsa04012	ErbB signaling pathway - Homo sapiens (human)	0.4426767690356519	LGG	FOLH1
path:hsa04014	Ras signaling pathway - Homo sapiens (human)	8.827564087365649e-5	LGG	FOLH1
path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0.0013356714347424615	LGG	FOLH1
path:hsa04020	Calcium signaling pathway - Homo sapiens (human)	1.9340541082044926e-4	LGG	FOLH1
path:hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	2.7061703906385227e-5	LGG	FOLH1
path:hsa04024	cAMP signaling pathway - Homo sapiens (human)	2.7723758064764976e-4	LGG	FOLH1
path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	0.2897069238327668	LGG	FOLH1
path:hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	0.23897916646077805	LGG	FOLH1
path:hsa04062	Chemokine signaling pathway - Homo sapiens (human)	0.9638388574758652	LGG	FOLH1
path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	0.06577811265798418	LGG	FOLH1
path:hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	0.4773711561099614	LGG	FOLH1
path:hsa04068	FoxO signaling pathway - Homo sapiens (human)	0.6669356491392548	LGG	FOLH1
path:hsa04070	Phosphatidylinositol signaling system - Homo sapiens (human)	0.020743199365073687	LGG	FOLH1
path:hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	0.20514406469793822	LGG	FOLH1
path:hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	0.0014633092828828546	LGG	FOLH1
path:hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	0.006568184300004333	LGG	FOLH1
path:hsa04110	Cell cycle - Homo sapiens (human)	0.9357257014382938	LGG	FOLH1
path:hsa04114	Oocyte meiosis - Homo sapiens (human)	2.1833312084684685e-7	LGG	FOLH1
path:hsa04115	p53 signaling pathway - Homo sapiens (human)	0.0532974836984397	LGG	FOLH1
path:hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)	0.9040744463677477	LGG	FOLH1
path:hsa04122	Sulfur relay system - Homo sapiens (human)	0.31300572742466637	LGG	FOLH1
path:hsa04130	SNARE interactions in vesicular transport - Homo sapiens (human)	0.6136187110955011	LGG	FOLH1
path:hsa04136	Autophagy - other - Homo sapiens (human)	0.9515057716061283	LGG	FOLH1
path:hsa04137	Mitophagy - animal - Homo sapiens (human)	0.9126258476780068	LGG	FOLH1
path:hsa04140	Autophagy - animal - Homo sapiens (human)	0.8416226888801125	LGG	FOLH1
path:hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	0.011397452629000571	LGG	FOLH1
path:hsa04142	Lysosome - Homo sapiens (human)	0.03983502153977945	LGG	FOLH1
path:hsa04144	Endocytosis - Homo sapiens (human)	0.1464056279801057	LGG	FOLH1
path:hsa04145	Phagosome - Homo sapiens (human)	0.2783792522221567	LGG	FOLH1
path:hsa04146	Peroxisome - Homo sapiens (human)	8.230802673136594e-5	LGG	FOLH1
path:hsa04150	mTOR signaling pathway - Homo sapiens (human)	0.008586685107036354	LGG	FOLH1
path:hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	0.8922272783959043	LGG	FOLH1
path:hsa04152	AMPK signaling pathway - Homo sapiens (human)	0.07185412855912056	LGG	FOLH1
path:hsa04210	Apoptosis - Homo sapiens (human)	0.05619992339582093	LGG	FOLH1
path:hsa04211	Longevity regulating pathway - Homo sapiens (human)	0.40874609919996874	LGG	FOLH1
path:hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	0.03343144618032116	LGG	FOLH1
path:hsa04215	Apoptosis - multiple species - Homo sapiens (human)	0.301756474306336	LGG	FOLH1
path:hsa04216	Ferroptosis - Homo sapiens (human)	0.509218992080974	LGG	FOLH1
path:hsa04217	Necroptosis - Homo sapiens (human)	0.011542828645041109	LGG	FOLH1
path:hsa04218	Cellular senescence - Homo sapiens (human)	0.15756999068006736	LGG	FOLH1
path:hsa04260	Cardiac muscle contraction - Homo sapiens (human)	0.0016939678650498748	LGG	FOLH1
path:hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	0.001429637578174058	LGG	FOLH1
path:hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	6.870785340775762e-5	LGG	FOLH1
path:hsa04310	Wnt signaling pathway - Homo sapiens (human)	0.022216747719902813	LGG	FOLH1
path:hsa04330	Notch signaling pathway - Homo sapiens (human)	0.03461938929993097	LGG	FOLH1
path:hsa04340	Hedgehog signaling pathway - Homo sapiens (human)	0.06324668157765274	LGG	FOLH1
path:hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	0.9752287772522377	LGG	FOLH1
path:hsa04360	Axon guidance - Homo sapiens (human)	8.090773415751698e-7	LGG	FOLH1
path:hsa04370	VEGF signaling pathway - Homo sapiens (human)	0.004860298798290938	LGG	FOLH1
path:hsa04371	Apelin signaling pathway - Homo sapiens (human)	0.06513729772019362	LGG	FOLH1
path:hsa04380	Osteoclast differentiation - Homo sapiens (human)	0.23234216500982915	LGG	FOLH1
path:hsa04390	Hippo signaling pathway - Homo sapiens (human)	0.15567980272067472	LGG	FOLH1
path:hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)	0.10912870809962216	LGG	FOLH1
path:hsa04510	Focal adhesion - Homo sapiens (human)	0.9757981124034922	LGG	FOLH1
path:hsa04512	ECM-receptor interaction - Homo sapiens (human)	0.8120763033297829	LGG	FOLH1
path:hsa04514	Cell adhesion molecules - Homo sapiens (human)	0.17725139039848703	LGG	FOLH1
path:hsa04520	Adherens junction - Homo sapiens (human)	0.004196547865820452	LGG	FOLH1
path:hsa04530	Tight junction - Homo sapiens (human)	0.0015408461208445698	LGG	FOLH1
path:hsa04540	Gap junction - Homo sapiens (human)	0.0032773006471948523	LGG	FOLH1
path:hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	0.26795960405108316	LGG	FOLH1
path:hsa04610	Complement and coagulation cascades - Homo sapiens (human)	0.24087476389209442	LGG	FOLH1
path:hsa04611	Platelet activation - Homo sapiens (human)	0.302034145630233	LGG	FOLH1
path:hsa04612	Antigen processing and presentation - Homo sapiens (human)	0.005661365993254616	LGG	FOLH1
path:hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	0.22360403388736227	LGG	FOLH1
path:hsa04614	Renin-angiotensin system - Homo sapiens (human)	0.040771621855771475	LGG	FOLH1
path:hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	0.028900533925845972	LGG	FOLH1
path:hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	0.002284186218459844	LGG	FOLH1
path:hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)	0.0018548216574999334	LGG	FOLH1
path:hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	1.2682917689444514e-5	LGG	FOLH1
path:hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	0.35772642185421155	LGG	FOLH1
path:hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	0.004073916937560254	LGG	FOLH1
path:hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	0.3791147029369505	LGG	FOLH1
path:hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	0.27745939047010026	LGG	FOLH1
path:hsa04657	IL-17 signaling pathway - Homo sapiens (human)	0.9322854576142883	LGG	FOLH1
path:hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	0.37498937208661054	LGG	FOLH1
path:hsa04659	Th17 cell differentiation - Homo sapiens (human)	0.0637778292633678	LGG	FOLH1
path:hsa04660	T cell receptor signaling pathway - Homo sapiens (human)	0.7532253944320599	LGG	FOLH1
path:hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	0.4907701049410188	LGG	FOLH1
path:hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)	0.8684386121614349	LGG	FOLH1
path:hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	0.5483213829010015	LGG	FOLH1
path:hsa04668	TNF signaling pathway - Homo sapiens (human)	0.6895039439459195	LGG	FOLH1
path:hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	0.7050914678685389	LGG	FOLH1
path:hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)	0.03225338680409004	LGG	FOLH1
path:hsa04710	Circadian rhythm - Homo sapiens (human)	0.4055676815456425	LGG	FOLH1
path:hsa04713	Circadian entrainment - Homo sapiens (human)	0.012785566634289022	LGG	FOLH1
path:hsa04714	Thermogenesis - Homo sapiens (human)	0.915547513316023	LGG	FOLH1
path:hsa04720	Long-term potentiation - Homo sapiens (human)	2.9248016403536495e-4	LGG	FOLH1
path:hsa04721	Synaptic vesicle cycle - Homo sapiens (human)	3.1866964881366166e-6	LGG	FOLH1
path:hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)	0.9603084362274589	LGG	FOLH1
path:hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)	0.009014714309551967	LGG	FOLH1
path:hsa04724	Glutamatergic synapse - Homo sapiens (human)	1.3986551820948685e-4	LGG	FOLH1
path:hsa04725	Cholinergic synapse - Homo sapiens (human)	1.7697623946670885e-4	LGG	FOLH1
path:hsa04726	Serotonergic synapse - Homo sapiens (human)	7.875821472150645e-5	LGG	FOLH1
path:hsa04727	GABAergic synapse - Homo sapiens (human)	0.0017509023519946055	LGG	FOLH1
path:hsa04728	Dopaminergic synapse - Homo sapiens (human)	3.927980715560218e-4	LGG	FOLH1
path:hsa04730	Long-term depression - Homo sapiens (human)	0.19634033890563843	LGG	FOLH1
path:hsa04740	Olfactory transduction - Homo sapiens (human)	0.4997712947603067	LGG	FOLH1
path:hsa04742	Taste transduction - Homo sapiens (human)	5.09691188837839e-4	LGG	FOLH1
path:hsa04744	Phototransduction - Homo sapiens (human)	0.02564786826673573	LGG	FOLH1
path:hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	0.012172516045492328	LGG	FOLH1
path:hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	0.6555356047920766	LGG	FOLH1
path:hsa04910	Insulin signaling pathway - Homo sapiens (human)	0.14602217444211882	LGG	FOLH1
path:hsa04911	Insulin secretion - Homo sapiens (human)	0.001061867491652874	LGG	FOLH1
path:hsa04912	GnRH signaling pathway - Homo sapiens (human)	8.99410684313566e-6	LGG	FOLH1
path:hsa04913	Ovarian steroidogenesis - Homo sapiens (human)	0.377684827483592	LGG	FOLH1
path:hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)	8.865559290420373e-5	LGG	FOLH1
path:hsa04915	Estrogen signaling pathway - Homo sapiens (human)	0.12230255438909823	LGG	FOLH1
path:hsa04916	Melanogenesis - Homo sapiens (human)	0.00863420130543241	LGG	FOLH1
path:hsa04917	Prolactin signaling pathway - Homo sapiens (human)	0.15560839790226685	LGG	FOLH1
path:hsa04918	Thyroid hormone synthesis - Homo sapiens (human)	0.42339584196034785	LGG	FOLH1
path:hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)	0.0073738469963004465	LGG	FOLH1
path:hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)	0.011311359116374755	LGG	FOLH1
path:hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	4.2039986925605295e-4	LGG	FOLH1
path:hsa04922	Glucagon signaling pathway - Homo sapiens (human)	0.13289469821256839	LGG	FOLH1
path:hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)	0.06832996418353347	LGG	FOLH1
path:hsa04924	Renin secretion - Homo sapiens (human)	2.2523005138536472e-4	LGG	FOLH1
path:hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	2.807202465039432e-4	LGG	FOLH1
path:hsa04926	Relaxin signaling pathway - Homo sapiens (human)	0.11332359529437178	LGG	FOLH1
path:hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	0.025314857157978547	LGG	FOLH1
path:hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	0.9010563308590229	LGG	FOLH1
path:hsa04929	GnRH secretion - Homo sapiens (human)	4.806913635232661e-7	LGG	FOLH1
path:hsa04930	Type II diabetes mellitus - Homo sapiens (human)	0.1002992664354513	LGG	FOLH1
path:hsa04931	Insulin resistance - Homo sapiens (human)	0.08208946919957281	LGG	FOLH1
path:hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)	0.41170155295327415	LGG	FOLH1
path:hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	0.8155071223573223	LGG	FOLH1
path:hsa04934	Cushing syndrome - Homo sapiens (human)	0.0026117964941364787	LGG	FOLH1
path:hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)	0.7053441023583955	LGG	FOLH1
path:hsa04936	Alcoholic liver disease - Homo sapiens (human)	2.587604578881521e-6	LGG	FOLH1
path:hsa04940	Type I diabetes mellitus - Homo sapiens (human)	0.03155778662186351	LGG	FOLH1
path:hsa04950	Maturity onset diabetes of the young - Homo sapiens (human)	0.3213808006007619	LGG	FOLH1
path:hsa04960	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	2.2377127583811653e-4	LGG	FOLH1
path:hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	0.0205196845666868	LGG	FOLH1
path:hsa04962	Vasopressin-regulated water reabsorption - Homo sapiens (human)	0.15919399931393416	LGG	FOLH1
path:hsa04964	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	0.03256225071597327	LGG	FOLH1
path:hsa04966	Collecting duct acid secretion - Homo sapiens (human)	1.7274645003279991e-4	LGG	FOLH1
path:hsa04970	Salivary secretion - Homo sapiens (human)	0.05667966167130714	LGG	FOLH1
path:hsa04971	Gastric acid secretion - Homo sapiens (human)	0.0019154560532368234	LGG	FOLH1
path:hsa04972	Pancreatic secretion - Homo sapiens (human)	0.025037288336612177	LGG	FOLH1
path:hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)	0.876992683934141	LGG	FOLH1
path:hsa04974	Protein digestion and absorption - Homo sapiens (human)	0.4747769883101475	LGG	FOLH1
path:hsa04975	Fat digestion and absorption - Homo sapiens (human)	0.5549445882056423	LGG	FOLH1
path:hsa04976	Bile secretion - Homo sapiens (human)	0.35452790398019807	LGG	FOLH1
path:hsa04977	Vitamin digestion and absorption - Homo sapiens (human)	0.6482973107529515	LGG	FOLH1
path:hsa04978	Mineral absorption - Homo sapiens (human)	0.5655359847072585	LGG	FOLH1
path:hsa04979	Cholesterol metabolism - Homo sapiens (human)	0.5453472310935024	LGG	FOLH1
path:hsa05010	Alzheimer disease - Homo sapiens (human)	0.3116813587219118	LGG	FOLH1
path:hsa05012	Parkinson disease - Homo sapiens (human)	0.5819130652026236	LGG	FOLH1
path:hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)	0.9599460618490678	LGG	FOLH1
path:hsa05016	Huntington disease - Homo sapiens (human)	0.4849370448955269	LGG	FOLH1
path:hsa05017	Spinocerebellar ataxia - Homo sapiens (human)	0.40920256842442937	LGG	FOLH1
path:hsa05020	Prion disease - Homo sapiens (human)	0.38032228297819803	LGG	FOLH1
path:hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	0.09943937018046929	LGG	FOLH1
path:hsa05030	Cocaine addiction - Homo sapiens (human)	2.3014330427891872e-4	LGG	FOLH1
path:hsa05031	Amphetamine addiction - Homo sapiens (human)	0.004818115592268254	LGG	FOLH1
path:hsa05032	Morphine addiction - Homo sapiens (human)	2.329252461303752e-5	LGG	FOLH1
path:hsa05033	Nicotine addiction - Homo sapiens (human)	0.0014491454395316665	LGG	FOLH1
