pathway_id	pathway_description	pvalue	cancer_group	gene_parsed_by
path:hsa00340	0.02097902097902098	Histidine metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00350	0.01898101898101898	Tyrosine metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00360	0.07792207792207792	Phenylalanine metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00380	0.06293706293706294	Tryptophan metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00410	0.1068931068931069	beta-Alanine metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00450	0.22577422577422576	Selenocompound metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00480	0.002997002997002997	Glutathione metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00500	9.99000999000999e-4	Starch and sucrose metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00510	0.001998001998001998	N-Glycan biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00511	0.7702297702297702	Other glycan degradation - Homo sapiens (human)	LGG	FOLH1
path:hsa00512	0.04495504495504495	Mucin type O-glycan biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00513	0.001998001998001998	Various types of N-glycan biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00514	0.11188811188811189	Other types of O-glycan biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00515	0.06593406593406594	Mannose type O-glycan biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00520	0.44755244755244755	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00531	0.16083916083916083	Glycosaminoglycan degradation - Homo sapiens (human)	LGG	FOLH1
path:hsa00532	0.004995004995004995	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	LGG	FOLH1
path:hsa00533	9.99000999000999e-4	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	LGG	FOLH1
path:hsa00534	0.09090909090909091	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	LGG	FOLH1
path:hsa00561	0.13286713286713286	Glycerolipid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00562	0.38461538461538464	Inositol phosphate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00563	0.2077922077922078	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00564	0.4245754245754246	Glycerophospholipid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00565	0.05194805194805195	Ether lipid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00590	0.968031968031968	Arachidonic acid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00591	0.37662337662337664	Linoleic acid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00592	0.7772227772227772	alpha-Linolenic acid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00600	0.006993006993006993	Sphingolipid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00601	0.061938061938061936	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	LGG	FOLH1
path:hsa00603	0.7092907092907093	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	LGG	FOLH1
path:hsa00604	0.05094905094905095	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	LGG	FOLH1
path:hsa00620	0.34765234765234765	Pyruvate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00630	0.16983016983016982	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00640	0.005994005994005994	Propanoate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00650	0.2217782217782218	Butanoate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00670	0.2727272727272727	One carbon pool by folate - Homo sapiens (human)	LGG	FOLH1
path:hsa00730	0.2707292707292707	Thiamine metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00760	0.2517482517482518	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00770	0.5914085914085914	Pantothenate and CoA biosynthesis - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00790	9.99000999000999e-4	Folate biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00830	0.014985014985014986	Retinol metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00860	0.16283716283716285	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00900	0.33666333666333664	Terpenoid backbone biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00910	0.06893106893106893	Nitrogen metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00970	0.6853146853146853	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00980	0.011988011988011988	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	LGG	FOLH1
path:hsa00982	0.003996003996003996	Drug metabolism - cytochrome P450 - Homo sapiens (human)	LGG	FOLH1
path:hsa00983	0.004995004995004995	Drug metabolism - other enzymes - Homo sapiens (human)	LGG	FOLH1
path:hsa01040	0.04995004995004995	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	LGG	FOLH1
path:hsa01200	0.08191808191808192	Carbon metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa01210	0.24875124875124874	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa01212	0.022977022977022976	Fatty acid metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa01230	0.4005994005994006	Biosynthesis of amino acids - Homo sapiens (human)	LGG	FOLH1
path:hsa01240	0.001998001998001998	Biosynthesis of cofactors - Homo sapiens (human)	LGG	FOLH1
path:hsa01250	0.4145854145854146	Biosynthesis of nucleotide sugars - Homo sapiens (human)	LGG	FOLH1
path:hsa01521	0.00999000999000999	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	LGG	FOLH1
path:hsa01522	0.001998001998001998	Endocrine resistance - Homo sapiens (human)	LGG	FOLH1
path:hsa01523	0.3646353646353646	Antifolate resistance - Homo sapiens (human)	LGG	FOLH1
path:hsa01524	0.001998001998001998	Platinum drug resistance - Homo sapiens (human)	LGG	FOLH1
path:hsa02010	0.00999000999000999	ABC transporters - Homo sapiens (human)	LGG	FOLH1
path:hsa03008	0.2037962037962038	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	LGG	FOLH1
path:hsa03010	0.00999000999000999	Ribosome - Homo sapiens (human)	LGG	FOLH1
path:hsa03013	0.4595404595404595	Nucleocytoplasmic transport - Homo sapiens (human)	LGG	FOLH1
path:hsa03015	0.2727272727272727	mRNA surveillance pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa03018	0.27972027972027974	RNA degradation - Homo sapiens (human)	LGG	FOLH1
path:hsa03020	0.15384615384615385	RNA polymerase - Homo sapiens (human)	LGG	FOLH1
path:hsa03022	0.8691308691308691	Basal transcription factors - Homo sapiens (human)	LGG	FOLH1
path:hsa03030	0.03896103896103896	DNA replication - Homo sapiens (human)	LGG	FOLH1
path:hsa03040	0.5694305694305695	Spliceosome - Homo sapiens (human)	LGG	FOLH1
path:hsa03050	0.015984015984015984	Proteasome - Homo sapiens (human)	LGG	FOLH1
path:hsa03060	0.007992007992007992	Protein export - Homo sapiens (human)	LGG	FOLH1
path:hsa03320	0.014985014985014986	PPAR signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa03410	0.23276723276723277	Base excision repair - Homo sapiens (human)	LGG	FOLH1
path:hsa03420	0.3926073926073926	Nucleotide excision repair - Homo sapiens (human)	LGG	FOLH1
path:hsa03430	0.02097902097902098	Mismatch repair - Homo sapiens (human)	LGG	FOLH1
path:hsa03440	0.6723276723276723	Homologous recombination - Homo sapiens (human)	LGG	FOLH1
path:hsa03450	0.23076923076923078	Non-homologous end-joining - Homo sapiens (human)	LGG	FOLH1
path:hsa03460	0.1798201798201798	Fanconi anemia pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04010	0.12487512487512488	MAPK signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04012	9.99000999000999e-4	ErbB signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04014	0.029970029970029972	Ras signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04015	0.04795204795204795	Rap1 signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04020	0.052947052947052944	Calcium signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04022	0.061938061938061936	cGMP-PKG signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04024	0.005994005994005994	cAMP signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04060	0.1088911088911089	Cytokine-cytokine receptor interaction - Homo sapiens (human)	LGG	FOLH1
path:hsa04061	0.4785214785214785	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	LGG	FOLH1
path:hsa04062	0.3826173826173826	Chemokine signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04064	0.8441558441558441	NF-kappa B signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04066	0.4065934065934066	HIF-1 signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04068	9.99000999000999e-4	FoxO signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04070	0.4075924075924076	Phosphatidylinositol signaling system - Homo sapiens (human)	LGG	FOLH1
path:hsa04071	0.03696303696303696	Sphingolipid signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04072	0.23676323676323677	Phospholipase D signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04080	0.006993006993006993	Neuroactive ligand-receptor interaction - Homo sapiens (human)	LGG	FOLH1
path:hsa04110	0.007992007992007992	Cell cycle - Homo sapiens (human)	LGG	FOLH1
path:hsa04114	0.16483516483516483	Oocyte meiosis - Homo sapiens (human)	LGG	FOLH1
path:hsa04115	9.99000999000999e-4	p53 signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04120	0.007992007992007992	Ubiquitin mediated proteolysis - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa04130	0.08791208791208792	SNARE interactions in vesicular transport - Homo sapiens (human)	LGG	FOLH1
path:hsa04136	0.5804195804195804	Autophagy - other - Homo sapiens (human)	LGG	FOLH1
path:hsa04137	0.004995004995004995	Mitophagy - animal - Homo sapiens (human)	LGG	FOLH1
path:hsa04140	0.11888111888111888	Autophagy - animal - Homo sapiens (human)	LGG	FOLH1
path:hsa04141	0.025974025974025976	Protein processing in endoplasmic reticulum - Homo sapiens (human)	LGG	FOLH1
path:hsa04142	0.32167832167832167	Lysosome - Homo sapiens (human)	LGG	FOLH1
path:hsa04144	0.18581418581418582	Endocytosis - Homo sapiens (human)	LGG	FOLH1
path:hsa04145	0.03996003996003996	Phagosome - Homo sapiens (human)	LGG	FOLH1
path:hsa04146	0.12087912087912088	Peroxisome - Homo sapiens (human)	LGG	FOLH1
path:hsa04150	0.19080919080919082	mTOR signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04151	0.002997002997002997	PI3K-Akt signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04152	0.15484515484515485	AMPK signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04210	0.17382617382617382	Apoptosis - Homo sapiens (human)	LGG	FOLH1
path:hsa04211	0.17282717282717283	Longevity regulating pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04213	0.2017982017982018	Longevity regulating pathway - multiple species - Homo sapiens (human)	LGG	FOLH1
path:hsa04215	9.99000999000999e-4	Apoptosis - multiple species - Homo sapiens (human)	LGG	FOLH1
path:hsa04216	0.08291708291708291	Ferroptosis - Homo sapiens (human)	LGG	FOLH1
path:hsa04217	0.5924075924075924	Necroptosis - Homo sapiens (human)	LGG	FOLH1
path:hsa04218	9.99000999000999e-4	Cellular senescence - Homo sapiens (human)	LGG	FOLH1
path:hsa04260	0.3786213786213786	Cardiac muscle contraction - Homo sapiens (human)	LGG	FOLH1
path:hsa04261	0.01998001998001998	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	LGG	FOLH1
path:hsa04270	0.34465534465534464	Vascular smooth muscle contraction - Homo sapiens (human)	LGG	FOLH1
path:hsa04310	9.99000999000999e-4	Wnt signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04330	0.03196803196803197	Notch signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04340	0.35364635364635366	Hedgehog signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04350	0.001998001998001998	TGF-beta signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04360	0.03696303696303696	Axon guidance - Homo sapiens (human)	LGG	FOLH1
path:hsa04370	0.5224775224775224	VEGF signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04371	0.08091908091908091	Apelin signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04380	0.45054945054945056	Osteoclast differentiation - Homo sapiens (human)	LGG	FOLH1
path:hsa04390	9.99000999000999e-4	Hippo signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04392	0.4885114885114885	Hippo signaling pathway - multiple species - Homo sapiens (human)	LGG	FOLH1
path:hsa04510	0.001998001998001998	Focal adhesion - Homo sapiens (human)	LGG	FOLH1
path:hsa04512	0.0979020979020979	ECM-receptor interaction - Homo sapiens (human)	LGG	FOLH1
path:hsa04514	0.3966033966033966	Cell adhesion molecules - Homo sapiens (human)	LGG	FOLH1
path:hsa04520	9.99000999000999e-4	Adherens junction - Homo sapiens (human)	LGG	FOLH1
path:hsa04530	0.003996003996003996	Tight junction - Homo sapiens (human)	LGG	FOLH1
path:hsa04540	0.002997002997002997	Gap junction - Homo sapiens (human)	LGG	FOLH1
path:hsa04550	0.08291708291708291	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	LGG	FOLH1
path:hsa04610	0.03896103896103896	Complement and coagulation cascades - Homo sapiens (human)	LGG	FOLH1
path:hsa04611	0.2017982017982018	Platelet activation - Homo sapiens (human)	LGG	FOLH1
path:hsa04612	0.002997002997002997	Antigen processing and presentation - Homo sapiens (human)	LGG	FOLH1
path:hsa04613	0.5454545454545454	Neutrophil extracellular trap formation - Homo sapiens (human)	LGG	FOLH1
path:hsa04614	0.06593406593406594	Renin-angiotensin system - Homo sapiens (human)	LGG	FOLH1
path:hsa04620	0.3046953046953047	Toll-like receptor signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04621	0.23476523476523475	NOD-like receptor signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04622	0.2897102897102897	RIG-I-like receptor signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04623	0.5044955044955045	Cytosolic DNA-sensing pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04625	0.3626373626373626	C-type lectin receptor signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04630	0.5384615384615384	JAK-STAT signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04640	0.2837162837162837	Hematopoietic cell lineage - Homo sapiens (human)	LGG	FOLH1
path:hsa04650	0.1048951048951049	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	LGG	FOLH1
path:hsa04657	0.21978021978021978	IL-17 signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04658	0.3756243756243756	Th1 and Th2 cell differentiation - Homo sapiens (human)	LGG	FOLH1
path:hsa04659	0.5494505494505495	Th17 cell differentiation - Homo sapiens (human)	LGG	FOLH1
path:hsa04660	0.3256743256743257	T cell receptor signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04662	0.3516483516483517	B cell receptor signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04664	0.46553446553446554	Fc epsilon RI signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04666	0.4275724275724276	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	LGG	FOLH1
path:hsa04668	0.32867132867132864	TNF signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04670	0.059940059940059943	Leukocyte transendothelial migration - Homo sapiens (human)	LGG	FOLH1
path:hsa04672	0.7332667332667333	Intestinal immune network for IgA production - Homo sapiens (human)	LGG	FOLH1
path:hsa04710	0.5584415584415584	Circadian rhythm - Homo sapiens (human)	LGG	FOLH1
path:hsa04713	9.99000999000999e-4	Circadian entrainment - Homo sapiens (human)	LGG	FOLH1
path:hsa04714	0.26373626373626374	Thermogenesis - Homo sapiens (human)	LGG	FOLH1
path:hsa04720	0.023976023976023976	Long-term potentiation - Homo sapiens (human)	LGG	FOLH1
path:hsa04721	9.99000999000999e-4	Synaptic vesicle cycle - Homo sapiens (human)	LGG	FOLH1
path:hsa04722	0.32667332667332666	Neurotrophin signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04723	0.06493506493506493	Retrograde endocannabinoid signaling - Homo sapiens (human)	LGG	FOLH1
path:hsa04724	9.99000999000999e-4	Glutamatergic synapse - Homo sapiens (human)	LGG	FOLH1
path:hsa04725	0.005994005994005994	Cholinergic synapse - Homo sapiens (human)	LGG	FOLH1
path:hsa04726	9.99000999000999e-4	Serotonergic synapse - Homo sapiens (human)	LGG	FOLH1
path:hsa04727	9.99000999000999e-4	GABAergic synapse - Homo sapiens (human)	LGG	FOLH1
path:hsa04728	0.007992007992007992	Dopaminergic synapse - Homo sapiens (human)	LGG	FOLH1
path:hsa04730	0.012987012987012988	Long-term depression - Homo sapiens (human)	LGG	FOLH1
path:hsa04740	9.99000999000999e-4	Olfactory transduction - Homo sapiens (human)	LGG	FOLH1
path:hsa04742	0.41858141858141856	Taste transduction - Homo sapiens (human)	LGG	FOLH1
path:hsa04744	0.7452547452547452	Phototransduction - Homo sapiens (human)	LGG	FOLH1
path:hsa04750	0.24475524475524477	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	LGG	FOLH1
path:hsa04810	0.027972027972027972	Regulation of actin cytoskeleton - Homo sapiens (human)	LGG	FOLH1
path:hsa04910	0.04295704295704296	Insulin signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04911	0.013986013986013986	Insulin secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04912	0.5664335664335665	GnRH signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04913	0.32967032967032966	Ovarian steroidogenesis - Homo sapiens (human)	LGG	FOLH1
path:hsa04914	0.12287712287712288	Progesterone-mediated oocyte maturation - Homo sapiens (human)	LGG	FOLH1
path:hsa04915	0.007992007992007992	Estrogen signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04916	0.001998001998001998	Melanogenesis - Homo sapiens (human)	LGG	FOLH1
path:hsa04917	0.14185814185814186	Prolactin signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04918	0.013986013986013986	Thyroid hormone synthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa04919	0.03896103896103896	Thyroid hormone signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04920	0.07692307692307693	Adipocytokine signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04921	0.2097902097902098	Oxytocin signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04922	0.01098901098901099	Glucagon signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04923	0.01898101898101898	Regulation of lipolysis in adipocytes - Homo sapiens (human)	LGG	FOLH1
path:hsa04924	0.017982017982017984	Renin secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04925	0.06693306693306693	Aldosterone synthesis and secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04926	9.99000999000999e-4	Relaxin signaling pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa04927	9.99000999000999e-4	Cortisol synthesis and secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04928	0.006993006993006993	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	LGG	FOLH1
path:hsa04929	0.08091908091908091	GnRH secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04930	0.08191808191808192	Type II diabetes mellitus - Homo sapiens (human)	LGG	FOLH1
path:hsa04931	0.04995004995004995	Insulin resistance - Homo sapiens (human)	LGG	FOLH1
path:hsa04932	0.1258741258741259	Non-alcoholic fatty liver disease - Homo sapiens (human)	LGG	FOLH1
path:hsa04933	0.14285714285714285	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	LGG	FOLH1
path:hsa04934	9.99000999000999e-4	Cushing syndrome - Homo sapiens (human)	LGG	FOLH1
path:hsa04935	0.001998001998001998	Growth hormone synthesis, secretion and action - Homo sapiens (human)	LGG	FOLH1
path:hsa04936	0.03596403596403597	Alcoholic liver disease - Homo sapiens (human)	LGG	FOLH1
path:hsa04940	0.004995004995004995	Type I diabetes mellitus - Homo sapiens (human)	LGG	FOLH1
path:hsa04950	0.002997002997002997	Maturity onset diabetes of the young - Homo sapiens (human)	LGG	FOLH1
path:hsa04960	0.04495504495504495	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04961	0.13986013986013987	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04962	9.99000999000999e-4	Vasopressin-regulated water reabsorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04964	9.99000999000999e-4	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	LGG	FOLH1
path:hsa04966	0.07192807192807193	Collecting duct acid secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04970	0.002997002997002997	Salivary secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04971	0.002997002997002997	Gastric acid secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04972	0.001998001998001998	Pancreatic secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04973	0.005994005994005994	Carbohydrate digestion and absorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04974	0.006993006993006993	Protein digestion and absorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04975	0.03996003996003996	Fat digestion and absorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04976	0.44555444555444557	Bile secretion - Homo sapiens (human)	LGG	FOLH1
path:hsa04977	0.03596403596403597	Vitamin digestion and absorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04978	0.003996003996003996	Mineral absorption - Homo sapiens (human)	LGG	FOLH1
path:hsa04979	0.059940059940059943	Cholesterol metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa05010	0.008991008991008992	Alzheimer disease - Homo sapiens (human)	LGG	FOLH1
path:hsa05012	0.001998001998001998	Parkinson disease - Homo sapiens (human)	LGG	FOLH1
path:hsa05014	0.028971028971028972	Amyotrophic lateral sclerosis - Homo sapiens (human)	LGG	FOLH1
path:hsa05016	0.012987012987012988	Huntington disease - Homo sapiens (human)	LGG	FOLH1
path:hsa05017	0.027972027972027972	Spinocerebellar ataxia - Homo sapiens (human)	LGG	FOLH1
path:hsa05020	0.004995004995004995	Prion disease - Homo sapiens (human)	LGG	FOLH1
path:hsa05022	0.02197802197802198	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	LGG	FOLH1
path:hsa05030	0.002997002997002997	Cocaine addiction - Homo sapiens (human)	LGG	FOLH1
path:hsa05031	0.01098901098901099	Amphetamine addiction - Homo sapiens (human)	LGG	FOLH1
path:hsa05032	9.99000999000999e-4	Morphine addiction - Homo sapiens (human)	LGG	FOLH1
path:hsa05033	9.99000999000999e-4	Nicotine addiction - Homo sapiens (human)	LGG	FOLH1
path:hsa05034	9.99000999000999e-4	Alcoholism - Homo sapiens (human)	LGG	FOLH1
path:hsa05100	9.99000999000999e-4	Bacterial invasion of epithelial cells - Homo sapiens (human)	LGG	FOLH1
path:hsa05110	9.99000999000999e-4	Vibrio cholerae infection - Homo sapiens (human)	LGG	FOLH1
path:hsa05120	0.4915084915084915	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	LGG	FOLH1
path:hsa05130	0.13586413586413587	Pathogenic Escherichia coli infection - Homo sapiens (human)	LGG	FOLH1
path:hsa05131	0.17082917082917082	Shigellosis - Homo sapiens (human)	LGG	FOLH1
path:hsa05132	0.07092907092907093	Salmonella infection - Homo sapiens (human)	LGG	FOLH1
path:hsa05133	0.06493506493506493	Pertussis - Homo sapiens (human)	LGG	FOLH1
path:hsa05134	0.6463536463536463	Legionellosis - Homo sapiens (human)	LGG	FOLH1
path:hsa05135	0.32867132867132864	Yersinia infection - Homo sapiens (human)	LGG	FOLH1
path:hsa05140	0.11188811188811189	Leishmaniasis - Homo sapiens (human)	LGG	FOLH1
