GOID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Ontology	gene_set_size	universe_size	LogOddsRatioSE	change_dir	cancer_group	gene_parsed_by	percentile
GO:0007165	4.754403452084135e-6	1.2824539489287692	572.7852778872684	652	3577	signal transduction	BP	1625	10148	0.05551582773609254	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048869	5.553019095736448e-6	1.3020257130224293	432.8315924320063	506	2703	cellular developmental process	BP	1625	10148	0.05901850170951234	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0000902	5.584383661916704e-6	1.517566436516467	125.54197871501772	171	784	cell morphogenesis	BP	1625	10148	0.09106840695991246	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007409	6.654330921294293e-6	1.7610851138160557	60.369038234134806	93	377	axonogenesis	BP	1625	10148	0.12267000611443842	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007399	7.37666336106936e-6	1.3508189044852998	277.985810011825	340	1736	nervous system development	BP	1625	10148	0.06764636322119913	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0072657	8.738751770223945e-6	1.6690134774526266	73.81996452502956	109	461	protein localization to membrane	BP	1625	10148	0.11312486758222434	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:2000026	1.117102763169876e-5	1.3740626404560832	226.90431612140324	283	1417	regulation of multicellular organismal development	BP	1625	10148	0.07277290645119762	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030154	1.1825851481161896e-5	1.2941550674206177	411.69442254631457	481	2571	cell differentiation	BP	1625	10148	0.05989194705035115	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051960	1.3200907723504542e-5	1.5205893169584648	112.5714426487978	154	703	regulation of nervous system development	BP	1625	10148	0.09549982903750873	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032879	1.5469168692749538e-5	1.326602696675097	297.8419392983839	359	1860	regulation of localization	BP	1625	10148	0.06621205950625847	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007166	1.674952872171329e-5	1.3237006196857886	300.8844107213244	362	1879	cell surface receptor signaling pathway	BP	1625	10148	0.06600096329970338	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051240	2.0091044722863536e-5	1.3956204152316465	185.91101694915255	236	1161	positive regulation of multicellular organismal process	BP	1625	10148	0.07854887143558238	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007264	2.0312474558227728e-5	1.6362307611690023	73.49970437524635	107	459	small GTPase mediated signal transduction	BP	1625	10148	0.113876463998845	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051094	2.072736397955658e-5	1.4337223669271355	152.92422152148205	199	955	positive regulation of developmental process	BP	1625	10148	0.0847224236081835	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032989	2.2646685185785676e-5	1.4580095844194083	135.4700433582972	179	846	cellular component morphogenesis	BP	1625	10148	0.08890836140753523	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048584	2.513971473246651e-5	1.3494940978077572	236.5121206148995	291	1477	positive regulation of response to stimulus	BP	1625	10148	0.07187153200863909	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0022604	3.220931858183332e-5	1.6841320864991234	61.009558533701224	91	381	regulation of cell morphogenesis	BP	1625	10148	0.12333142235806668	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048468	3.262323174361738e-5	1.3414504428392842	240.03498226251477	294	1499	cell development	BP	1625	10148	0.07154858643984158	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007417	3.5090052862384525e-5	1.4865130551869488	113.69235317303902	153	710	central nervous system development	BP	1625	10148	0.09558326837056608	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030182	3.881051295372924e-5	1.4053784790492034	161.5712455656287	207	1009	neuron differentiation	BP	1625	10148	0.08314166336525151	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010769	4.2461441824656226e-5	1.8694302176696544	38.911608198659835	63	243	regulation of cell morphogenesis involved in differentiation	BP	1625	10148	0.14895850850291606	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048666	4.2745563065595714e-5	1.4397276499871612	135.14978320851398	177	844	neuron development	BP	1625	10148	0.0892573070740208	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045664	4.761893666546504e-5	1.5671389051890352	81.66633819471816	115	510	regulation of neuron differentiation	BP	1625	10148	0.10960192012563204	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050770	4.804184166450328e-5	2.1196930659796123	25.300551832873474	45	158	regulation of axonogenesis	BP	1625	10148	0.17839169599776905	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032946	7.034133714613032e-5	2.7001912768318888	12.81040599132834	27	80	positive regulation of mononuclear cell proliferation	BP	1625	10148	0.23801009967552017	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0031175	7.221652026120943e-5	1.447372926820916	121.37859676783604	160	758	neuron projection development	BP	1625	10148	0.09343991451532135	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048856	7.470097188776398e-5	1.2367410496807882	589.7590658257785	658	3683	anatomical structure development	BP	1625	10148	0.05537459558557411	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006605	9.240620045170897e-5	1.733558413532657	47.078242018131654	72	294	protein targeting	BP	1625	10148	0.138411617323755	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032502	1.0915480966897103e-4	1.2276769192298074	627.7098935750887	695	3920	developmental process	BP	1625	10148	0.05489030633293673	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0022603	1.177113824874811e-4	1.432483312974934	120.7380764682696	158	754	regulation of anatomical structure morphogenesis	BP	1625	10148	0.09388706332848472	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0040011	1.3714601998959978e-4	1.33446473217668	200.32272368939692	246	1251	locomotion	BP	1625	10148	0.07693011625647218	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006935	1.41659381800312e-4	1.5638292787841133	70.93762317698068	100	443	chemotaxis	BP	1625	10148	0.11701896849961896	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0070665	1.430227598544026e-4	2.554633023422135	13.290796216003152	27	83	positive regulation of leukocyte proliferation	BP	1625	10148	0.23587723016085904	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051049	1.4666286197178425e-4	1.3368474673872115	195.038431217974	240	1218	regulation of transport	BP	1625	10148	0.07774137456687495	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051098	1.5058972865865226e-4	1.7779910428662828	39.71225857311786	62	248	regulation of binding	BP	1625	10148	0.14921500873847388	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050671	1.5238450347985146e-4	2.5985580610523087	12.650275916436737	26	79	positive regulation of lymphocyte proliferation	BP	1625	10148	0.2409832309800021	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0042330	1.5484331730478116e-4	1.5590926420129625	71.09775325187229	100	444	taxis	BP	1625	10148	0.11698281405658446	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0031344	1.8423873852860075e-4	1.503166239667424	84.22841939298384	115	526	regulation of cell projection organization	BP	1625	10148	0.10915249889768344	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010720	1.878042534200132e-4	1.5793818054092026	64.69255025620812	92	404	positive regulation of cell development	BP	1625	10148	0.12185563995524126	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0120035	1.898002182312238e-4	1.5044855336053218	83.42776901852582	114	521	regulation of plasma membrane bounded cell projection organization	BP	1625	10148	0.10960820706412652	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007265	1.9106351179290105e-4	1.6244113199395118	56.3657863618447	82	352	Ras protein signal transduction	BP	1625	10148	0.12910492575811974	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050769	2.0285347193511744e-4	1.6106843063783467	58.12721718565235	84	363	positive regulation of neurogenesis	BP	1625	10148	0.1275116500630189	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048519	2.172671798550812e-4	1.221935665121506	545.7232952305873	608	3408	negative regulation of biological process	BP	1625	10148	0.05621296469443385	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0016477	2.2102891005159104e-4	1.3570249205927212	160.77059519117068	201	1004	cell migration	BP	1625	10148	0.08397758784539161	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051251	2.240146188864259e-4	1.9654404456279664	26.101202207331493	44	163	positive regulation of lymphocyte activation	BP	1625	10148	0.17855569466539437	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050768	2.4114042885159943e-4	1.796831686209465	35.548876625936146	56	222	negative regulation of neurogenesis	BP	1625	10148	0.156965754346343	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051179	2.6374540992525435e-4	1.209829361079878	683.1148994875838	747	4266	localization	BP	1625	10148	0.05442106225766997	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0120036	2.679518702072785e-4	1.3310405040475934	182.22802522664568	224	1138	plasma membrane bounded cell projection organization	BP	1625	10148	0.08002235192042947	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006928	2.686073805962465e-4	1.2981705754197104	229.1461371698857	275	1431	movement of cell or subcellular component	BP	1625	10148	0.07333414446525542	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030030	2.705217585637668e-4	1.32769577436261	185.91101694915255	228	1161	cell projection organization	BP	1625	10148	0.07940622263150343	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0060627	2.759267831204216e-4	1.5963921469828029	57.80695703586914	83	361	regulation of vesicle-mediated transport	BP	1625	10148	0.12812146241557396	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007420	2.8187391014200525e-4	1.4853115984399194	84.22841939298384	114	526	brain development	BP	1625	10148	0.10947244867700316	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010975	2.8321980645814004e-4	1.5638351876136891	63.731769806858495	90	398	regulation of neuron projection development	BP	1625	10148	0.1230083684196073	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048583	2.8368732710869893e-4	1.232213123343623	429.7891210090658	487	2684	regulation of response to stimulus	BP	1625	10148	0.05954298130256524	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048870	2.865536059106146e-4	1.3361848358558164	174.22152148206544	215	1088	cell motility	BP	1625	10148	0.0814651887334803	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051674	2.865536059106146e-4	1.3361848358558164	174.22152148206544	215	1088	localization of cell	BP	1625	10148	0.0814651887334803	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032103	2.9094328454208867e-4	1.861706852791878	30.264584154513205	49	189	positive regulation of response to external stimulus	BP	1625	10148	0.16824038519926834	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007275	3.1083006602574786e-4	1.2155950838836056	543.4814741821049	604	3394	multicellular organism development	BP	1625	10148	0.05628421407001404	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0065007	3.1572535349399736e-4	1.2353038776486205	1159.9822625147813	1217	7244	biological regulation	BP	1625	10148	0.06196155365450562	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010629	3.238068137797762e-4	1.3237194389890143	184.62997635001972	226	1153	negative regulation of gene expression	BP	1625	10148	0.07968671113554066	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010721	3.4340017360842104e-4	1.7198270612592863	40.03251872290107	61	250	negative regulation of cell development	BP	1625	10148	0.1498126313232044	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006955	3.436316602986421e-4	1.3241532103247315	182.06789515175404	223	1137	immune response	BP	1625	10148	0.08014416331037608	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051099	3.628755931504154e-4	2.1214330609679446	19.055478912100902	34	119	positive regulation of binding	BP	1625	10148	0.2047523323337412	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010977	4.070288710261827e-4	2.053634868754948	20.656779661016948	36	129	negative regulation of neuron projection development	BP	1625	10148	0.1981878314437523	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030900	4.082838694956136e-4	1.6677114081514155	44.356030744974376	66	277	forebrain development	BP	1625	10148	0.1437101125576414	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0002696	4.317187387965308e-4	1.8219977991551597	30.74497437918802	49	192	positive regulation of leukocyte activation	BP	1625	10148	0.1677945760954567	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051961	4.359839922447604e-4	1.7170194502020393	38.75147812376823	59	242	negative regulation of nervous system development	BP	1625	10148	0.15222387164145865	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0042102	4.457907620249136e-4	2.8690980252624088	8.64702404414663	19	54	positive regulation of T cell proliferation	BP	1625	10148	0.2862577263736719	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007411	4.960727526661814e-4	1.7329064579720457	36.50965707528577	56	228	axon guidance	BP	1625	10148	0.15629520502370647	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045619	5.092477520025104e-4	2.226272202244742	15.692747339377217	29	98	regulation of lymphocyte differentiation	BP	1625	10148	0.22298064010411975	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:2001188	5.448028916477046e-4	26.30246913580247	0.9607804493496256	5	6	regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	BP	1625	10148	1.0957803736594525	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0097485	5.566676564274957e-4	1.7226833482539226	36.66978715017738	56	229	neuron projection guidance	BP	1625	10148	0.15618770369876905	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007219	5.823192975072809e-4	1.9825967483398217	21.77769018525818	37	136	Notch signaling pathway	BP	1625	10148	0.19461877736229177	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051962	5.84444408603861e-4	1.5138060113402578	66.77424122979897	92	417	positive regulation of nervous system development	BP	1625	10148	0.12132924208982672	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0072594	6.032981696991068e-4	1.5559068289409923	57.48669688608593	81	359	establishment of protein localization to organelle	BP	1625	10148	0.12927395459232868	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045596	6.182451678112716e-4	1.4670606427116983	78.9441269215609	106	493	negative regulation of cell differentiation	BP	1625	10148	0.11313346083597405	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0009967	6.346948668204685e-4	1.3130671227130877	173.90126133228222	212	1086	positive regulation of signal transduction	BP	1625	10148	0.08185105997626692	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032101	6.458871405606727e-4	1.4620758382404344	79.90490737091052	107	499	regulation of response to external stimulus	BP	1625	10148	0.11259912269455648	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:1902105	6.784822332226577e-4	1.856248650982085	26.581592432006307	43	166	regulation of leukocyte differentiation	BP	1625	10148	0.1792681068258637	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048638	7.801382119198585e-4	1.6927110493076076	37.150177374852184	56	232	regulation of developmental growth	BP	1625	10148	0.15587210523658504	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050867	8.047983179132562e-4	1.748329156223893	32.34627512810406	50	202	positive regulation of cell activation	BP	1625	10148	0.16532794090521452	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045665	8.990922553278488e-4	1.796659369943847	28.50315333070556	45	178	negative regulation of neuron differentiation	BP	1625	10148	0.17462279381120752	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0009653	9.185612720801456e-4	1.2408776770463803	289.8354355538037	335	1810	anatomical structure morphogenesis	BP	1625	10148	0.06767657459922644	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048589	9.962990116792973e-4	1.4637273947895058	73.01931415057155	98	456	developmental growth	BP	1625	10148	0.11736579801514677	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:1901566	0.00101316694086997	1.2798289216273406	200.32272368939692	239	1251	organonitrogen compound biosynthetic process	BP	1625	10148	0.07763299232010465	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050896	0.00103595673049639	1.1841760804180756	858.7775916436736	916	5363	response to stimulus	BP	1625	10148	0.05451925860539759	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0001775	0.00103841296058884	1.3329882931859216	138.03212455656288	171	862	cell activation	BP	1625	10148	0.09005870549780942	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006886	0.00107140770247346	1.3668446026097272	112.891702798581	143	705	intracellular protein transport	BP	1625	10148	0.0978403935832578	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030100	0.00115367578191387	1.7454155476969164	30.42471422940481	47	190	regulation of endocytosis	BP	1625	10148	0.17036034762057012	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032501	0.00123092585448396	1.1808210412899445	702.9710287741427	759	4390	multicellular organismal process	BP	1625	10148	0.05433303842005878	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0034613	0.0012603352797797	1.273555117964384	200.1625936145053	238	1250	cellular protein localization	BP	1625	10148	0.07774279106423417	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0070727	0.0012720010558276	1.2726889629544498	201.12337406385495	239	1256	cellular macromolecule localization	BP	1625	10148	0.07760226840091357	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0010647	0.00131189277799759	1.278256515627492	191.03517934568387	228	1193	positive regulation of cell communication	BP	1625	10148	0.07918563058248802	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0098657	0.00131590206273314	1.390588919415463	95.59765471028774	123	597	import into cell	BP	1625	10148	0.10502287341076286	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0060341	0.00135501115606397	1.3873228564394788	96.55843515963736	124	603	regulation of cellular localization	BP	1625	10148	0.10460754074231016	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0060322	0.00137725010526138	1.4020915889164636	89.51271186440678	116	559	head development	BP	1625	10148	0.10800221709784792	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0016032	0.00142825701848842	1.4109357791256272	85.18919984233347	111	532	viral process	BP	1625	10148	0.1103097195043085	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0021537	0.00145836911664949	1.720930029281937	30.74497437918802	47	192	telencephalon development	BP	1625	10148	0.17007710386604258	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045666	0.00147980408949813	1.5684676532575828	46.43772171856523	66	290	positive regulation of neuron differentiation	BP	1625	10148	0.142750601153302	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051249	0.00161002993030894	1.6204845574593474	39.07173827355144	57	244	regulation of lymphocyte activation	BP	1625	10148	0.15378286623136986	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0022037	0.00162198958218775	2.251664585934249	12.330015766653528	23	77	metencephalon development	BP	1625	10148	0.250477697227818	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0060033	0.00165411244112263	13.149691358024691	1.1209105242412298	5	7	anatomical structure regression	BP	1625	10148	0.8370989434160854	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0097048	0.00165411244112263	13.149691358024691	1.1209105242412298	5	7	dendritic cell apoptotic process	BP	1625	10148	0.8370989434160854	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:2000668	0.00165411244112263	13.149691358024691	1.1209105242412298	5	7	regulation of dendritic cell apoptotic process	BP	1625	10148	0.8370989434160854	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0009966	0.00165882938932862	1.2147511848341233	330.3483445013796	375	2063	regulation of signal transduction	BP	1625	10148	0.0648489746052805	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006810	0.00170446790658159	1.184291692333836	521.7037839968467	573	3258	transport	BP	1625	10148	0.05691662373216059	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0023056	0.001722035194068	1.2693494298139238	191.9959597950335	228	1199	positive regulation of signaling	BP	1625	10148	0.07914585205416728	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051128	0.00181076083013514	1.227608887592849	278.4662002364998	320	1739	regulation of cellular component organization	BP	1625	10148	0.06882420305113728	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032880	0.00182694773859612	1.3580160857908847	105.3655892786756	133	658	regulation of protein localization	BP	1625	10148	0.10108823592248918	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0031346	0.00189648343501473	1.5436707067002318	47.718762317698065	67	298	positive regulation of cell projection organization	BP	1625	10148	0.14148082610017848	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0002291	0.00195626991429286	7.892835083384806	1.6013007489160425	6	10	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	BP	1625	10148	0.6460663406815716	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0042228	0.00195626991429286	7.892835083384806	1.6013007489160425	6	10	interleukin-8 biosynthetic process	BP	1625	10148	0.6460663406815716	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:2000179	0.00197455431255524	2.9539913097454997	6.245072920772566	14	39	positive regulation of neural precursor cell proliferation	BP	1625	10148	0.334913389759022	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030902	0.00198999901894919	1.993083357745012	16.97378793851005	29	106	hindbrain development	BP	1625	10148	0.2195785446394697	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0035556	0.00204935968416742	1.214765986151618	310.33208513992906	353	1938	intracellular signal transduction	BP	1625	10148	0.06628780652909241	gain_of_correlation_genes	Medullo	SLC1A5	15
