pathway	description	Type	logFC	P.Value	adj.P.Val	direction
hsa00620	Pyruvate metabolism	Metabolism	0.005641151752162453	0.3979640921947494	0.7555596497724656	up
hsa00760	Nicotinate and nicotinamide metabolism	Metabolism	0.009081261924950327	0.4077406840973985	0.7555596497724656	up
hsa00010	Glycolysis / Gluconeogenesis	Metabolism	0.004523975326968747	0.4082537226484867	0.7555596497724656	up
hsa03018	RNA degradation	Signaling	0.004694449505192917	0.4085707489003526	0.7555596497724656	up
hsa00360	Phenylalanine metabolism	Metabolism	0.00943550967078663	0.40910790792557894	0.7555596497724656	up
hsa04917	Prolactin signaling pathway	Signaling	-0.004890700077934939	0.4183039651582233	0.7567236566944257	down
hsa04750	Inflammatory mediator regulation of TRP channels	Signaling	-0.0041345703400642335	0.4185275486790304	0.7567236566944257	down
hsa04740	Olfactory transduction	Signaling	0.007112886717409096	0.4208121798203147	0.7567236566944257	up
hsa04310	Wnt signaling pathway	Signaling	0.005461850676532448	0.42579620572752763	0.7590280189055927	up
hsa04664	Fc epsilon RI signaling pathway	Signaling	-0.00625529799426716	0.4318093815839946	0.7631114071096456	down
hsa00052	Galactose metabolism	Metabolism	0.008199208712210457	0.44119312026144963	0.7671687475312776	up
hsa00030	Pentose phosphate pathway	Metabolism	0.006700992986904315	0.44943526078165574	0.7671687475312776	up
hsa04150	mTOR signaling pathway	Signaling	0.003735680781800617	0.4503646798277855	0.7671687475312776	up
hsa04973	Carbohydrate digestion and absorption	Signaling	0.00945087648677028	0.45668536914164193	0.7671687475312776	up
hsa04975	Fat digestion and absorption	Signaling	0.011003660168927959	0.4587503149330743	0.7671687475312776	up
hsa04115	p53 signaling pathway	Signaling	0.005510191731591798	0.45996631676156496	0.7671687475312776	up
hsa04320	Dorso-ventral axis formation	Signaling	-0.006183083485365681	0.4603012485187665	0.7671687475312776	down
hsa03050	Proteasome	Signaling	0.004999125910347688	0.4775086460200362	0.7894296164040921	up
hsa04966	Collecting duct acid secretion	Signaling	0.007776217104622291	0.481752874559485	0.7900747142775554	up
hsa04670	Leukocyte transendothelial migration	Signaling	0.003723657426810763	0.4918352052009487	0.7916162656698054	up
hsa04140	Regulation of autophagy	Signaling	0.003724580846239667	0.4919814963849568	0.7916162656698054	up
hsa04623	Cytosolic DNA-sensing pathway	Signaling	-0.005041452840603211	0.49427747319870774	0.7916162656698054	down
hsa04142	Lysosome	Signaling	-0.0029798408291392044	0.49819402455409356	0.7917036824309238	down
hsa03030	DNA replication	Signaling	-0.008539856283677464	0.5052661298466161	0.7967658201427408	down
hsa00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	Metabolism	0.007862109754175327	0.5177975436503095	0.8063758098799904	up
hsa00350	Tyrosine metabolism	Metabolism	0.006379712984376147	0.5209177650920329	0.8063758098799904	up
hsa00514	Other types of O-glycan biosynthesis	Metabolism	0.008433526232365584	0.5251278052637594	0.8063758098799904	up
hsa03008	Ribosome biogenesis in eukaryotes	Signaling	0.004801250798994406	0.5310405791782078	0.8063758098799904	up
hsa01210	2-Oxocarboxylic acid metabolism	Metabolism	-0.00992558094525707	0.5329473503381295	0.8063758098799904	down
hsa04978	Mineral absorption	Signaling	-0.005655283179909929	0.5362399977939896	0.8063758098799904	down
hsa03430	Mismatch repair	Signaling	-0.008788634943878037	0.5422965806605664	0.8063758098799904	down
hsa04610	Complement and coagulation cascades	Signaling	-0.003903883773129391	0.5428285939679935	0.8063758098799904	down
hsa03060	Protein export	Signaling	0.006870581663364797	0.5569041057094206	0.8213333933124548	up
hsa04640	Hematopoietic cell lineage	Signaling	-0.004984669148474697	0.5656475450433454	0.8282696195277557	down
hsa04066	HIF-1 signaling pathway	Signaling	0.003710537682931859	0.5813251261204356	0.8451890131538249	up
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	0.009318152466316164	0.5898123920466094	0.8490608024703158	up
hsa00040	Pentose and glucuronate interconversions	Metabolism	-0.0072708956887308366	0.5922716817231959	0.8490608024703158	down
hsa00531	Glycosaminoglycan degradation	Metabolism	-0.006737811402739296	0.6010552275444387	0.8493667608059894	down
hsa03460	Fanconi anemia pathway	Signaling	0.0031602918512194204	0.6100242021469816	0.8493667608059894	up
hsa03010	Ribosome	Signaling	0.00390672337357244	0.6147889897843444	0.8493667608059894	up
hsa04672	Intestinal immune network for IgA production	Signaling	-0.004769361107252848	0.6205160762108581	0.8493667608059894	down
hsa00630	Glyoxylate and dicarboxylate metabolism	Metabolism	0.006266996430348015	0.6217050734561126	0.8493667608059894	up
hsa04068	FoxO signaling pathway	Signaling	0.0030405986795183342	0.6234659508283833	0.8493667608059894	up
hsa04015	Rap1 signaling pathway	Signaling	-0.0024363276333197355	0.6276796474756025	0.8493667608059894	down
hsa04974	Protein digestion and absorption	Signaling	0.0045723041293337235	0.6389665814028759	0.8493667608059894	up
hsa04920	Adipocytokine signaling pathway	Signaling	-0.003175766156950289	0.6391503011086199	0.8493667608059894	down
hsa00250	Alanine, aspartate and glutamate metabolism	Metabolism	-0.004318124029749433	0.640934064640828	0.8493667608059894	down
hsa04912	GnRH signaling pathway	Signaling	-0.0026591299785049464	0.6425222159331377	0.8493667608059894	down
hsa00230	Purine metabolism	Metabolism	0.0018251696531342728	0.6445871245305959	0.8493667608059894	up
hsa04064	NF-kappa B signaling pathway	Signaling	0.0025684724569346113	0.6463473887108993	0.8493667608059894	up
hsa03013	RNA transport	Signaling	0.0022635908680262704	0.6569049159750716	0.8577420877381507	up
hsa00520	Amino sugar and nucleotide sugar metabolism	Metabolism	-0.003587001094575063	0.6647917036304571	0.8625461977483779	down
hsa04914	Progesterone-mediated oocyte maturation	Signaling	-0.002941779270647562	0.669409791775604	0.8630755176981058	down
hsa00830	Retinol metabolism	Metabolism	0.003742661291304593	0.6821528611412369	0.8720422539269479	up
hsa04730	Long-term depression	Signaling	0.003110893098312585	0.6854165811075515	0.8720422539269479	up
hsa00240	Pyrimidine metabolism	Metabolism	-0.002568554519377658	0.689126073834954	0.8720422539269479	down
hsa04270	Vascular smooth muscle contraction	Signaling	0.0021999645389326533	0.696487043006349	0.8737991349075178	up
hsa04620	Toll-like receptor signaling pathway	Signaling	0.0025808811511965836	0.6990393079260142	0.8737991349075178	up
hsa00500	Starch and sucrose metabolism	Metabolism	0.0050039465503004905	0.7114604076038828	0.8839356579320968	up
hsa00072	Synthesis and degradation of ketone bodies	Metabolism	-0.002290579577762701	0.7218016543199879	0.8875580455520297	down
hsa00740	Riboflavin metabolism	Metabolism	0.004489112856849852	0.7230350907667754	0.8875580455520297	up
hsa00100	Steroid biosynthesis	Metabolism	-0.003131588528215454	0.7295064576490988	0.8899603449297847	down
hsa04550	Signaling pathways regulating pluripotency of stem cells	Signaling	-0.0021500404068949953	0.7364756644735525	0.8899603449297847	down
hsa04010	MAPK signaling pathway	Signaling	0.0012791557796497904	0.7433399275699053	0.8899603449297847	up
hsa00860	Porphyrin and chlorophyll metabolism	Metabolism	-0.0019703491065606437	0.7443983156551799	0.8899603449297847	down
hsa00790	Folate biosynthesis	Metabolism	0.004861131532968555	0.7466984357459657	0.8899603449297847	up
hsa00410	beta-Alanine metabolism	Metabolism	0.002510483935079164	0.7538002118913073	0.8932314649579074	up
hsa00512	Mucin type O-Glycan biosynthesis	Metabolism	0.0025308960355502268	0.7686078559652607	0.9055437383498761	up
hsa04650	Natural killer cell mediated cytotoxicity	Signaling	0.0013306295623233659	0.776451334261578	0.9075949506813319	up
hsa03420	Nucleotide excision repair	Signaling	0.0026699963963921053	0.7792034698532411	0.9075949506813319	up
hsa04114	Oocyte meiosis	Signaling	0.0018395614288261954	0.7993813794589768	0.925837190898815	up
hsa00603	Glycosphingolipid biosynthesis - globo series	Metabolism	0.003898416397078127	0.8065883299866686	0.9289359980183544	up
hsa00565	Ether lipid metabolism	Metabolism	-0.0021496161892221124	0.8179469143639407	0.9320297490353869	down
hsa04360	Axon guidance	Signaling	0.0013224508469058256	0.8183675845188764	0.9320297490353869	up
hsa04512	ECM-receptor interaction	Signaling	-0.0012718882090415997	0.8352022275919895	0.9390941066870866	down
hsa04710	Circadian rhythm	Signaling	0.0016194939752331432	0.8369397190533401	0.9390941066870866	up
hsa00480	Glutathione metabolism	Metabolism	-0.0013495680728102693	0.8433676835303302	0.9390941066870866	down
hsa04810	Regulation of actin cytoskeleton	Signaling	-0.0012069906814939808	0.8439064446912213	0.9390941066870866	down
hsa00020	Citrate cycle (TCA cycle)	Metabolism	-0.0018330142576509164	0.847475169449322	0.9390941066870866	down
hsa04062	Chemokine signaling pathway	Signaling	7.222332279173883e-4	0.8794849813553287	0.9654003191364261	up
hsa04915	Estrogen signaling pathway	Signaling	-8.380038446982302e-4	0.8806334618463985	0.9654003191364261	down
hsa04720	Long-term potentiation	Signaling	-6.449378375044488e-4	0.9088887198983004	0.9708714251594576	down
hsa04630	Jak-STAT signaling pathway	Signaling	6.013001297558746e-4	0.915790989057336	0.9708714251594576	up
hsa00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	-6.260493078175998e-4	0.9163786194598363	0.9708714251594576	down
hsa00564	Glycerophospholipid metabolism	Metabolism	-6.155382168841668e-4	0.9197643907051433	0.9708714251594576	down
hsa04024	cAMP signaling pathway	Signaling	-5.455261494468923e-4	0.920093335726772	0.9708714251594576	down
hsa02010	ABC transporters	Signaling	-0.0012290363309810036	0.9379930075341475	0.9708714251594576	down
hsa01230	Biosynthesis of amino acids	Metabolism	6.566298999282431e-4	0.9381212409615121	0.9708714251594576	up
hsa04060	Cytokine-cytokine receptor interaction	Signaling	2.915048472368942e-4	0.9410493324775477	0.9708714251594576	up
hsa00983	Drug metabolism - other enzymes	Metabolism	-8.278598180093331e-4	0.9411842703592594	0.9708714251594576	down
hsa00561	Glycerolipid metabolism	Metabolism	-4.836489607972353e-4	0.9483134010147087	0.9708714251594576	down
hsa04540	Gap junction	Signaling	3.702474831322262e-4	0.9502186041785302	0.9708714251594576	up
hsa04014	Ras signaling pathway	Signaling	-3.1702030390361695e-4	0.9536574543491605	0.9708714251594576	down
hsa04071	Sphingolipid signaling pathway	Signaling	3.115629964677214e-4	0.9565212265991867	0.9708714251594576	up
hsa04210	Apoptosis	Signaling	2.4642009149279193e-4	0.959015469461105	0.9708714251594576	up
hsa00650	Butanoate metabolism	Metabolism	-3.755756269373365e-4	0.9609502212918171	0.9708714251594576	down
hsa04390	Hippo signaling pathway	Signaling	-4.068967789229091e-4	0.9613995088164384	0.9708714251594576	down
hsa04380	Osteoclast differentiation	Signaling	6.80638394994036e-5	0.9901633788581772	0.9950171209114035	up
hsa04145	Phagosome	Signaling	-5.72052536801209e-6	0.9988505858759769	0.9988505858759769	down
