"genes"	"modules"
"F13A1"	"M4"
"PCDH11X"	"M2"
"LIMS2"	"M1"
"SAPCD2"	"M2"
"GRIK2"	"M2"
"PPP2R2C"	"M1"
"GAD1"	"M5"
"SHISA6"	"M2"
"ZNF488"	"M2"
"NNMT"	"M4"
"TMEM158"	"M4"
"LHFPL3"	"M2"
"ZDHHC22"	"M2"
"SHISA7"	"M2"
"WNT7B"	"M2"
"EMILIN3"	"M2"
"TCEAL2"	"M2"
"FGF12"	"M2"
"VIPR2"	"M1"
"METTL7B"	"M4"
"CEND1"	"M6"
"FABP5"	"M4"
"ELOVL2"	"M5"
"ST8SIA3"	"M3"
"DUSP4"	"M4"
"SHANK2"	"M3"
"CD38"	"M1"
"CSMD3"	"M2"
"LRRC55"	"M1"
"MGST1"	"M1"
"CFI"	"M4"
"CCDC85B"	"M6"
"PDXP"	"M3"
"OLR1"	"M1"
"SPOCD1"	"M4"
"GRID2"	"M2"
"PPP1R1B"	"M1"
"CDH20"	"M2"
"JPH3"	"M3"
"SHISA9"	"M2"
"GRIN1"	"M3"
"NALCN"	"M2"
"CSDC2"	"M1"
"RRM2"	"M5"
"OMG"	"M2"
"HIST1H4H"	"M5"
"KCNIP1"	"M2"
"SRPX2"	"M4"
"SNAP91"	"M2"
"KCNJ16"	"M2"
"CCL3"	"M4"
"CARNS1"	"M1"
"INAFM2"	"M4"
"HIST1H4C"	"M5"
"MOXD1"	"M5"
"PRAME"	"Not.Correlated"
"DPP10"	"M2"
"IER5L"	"M4"
"CNTNAP2"	"M3"
"ADGRA1"	"M2"
"TMEM144"	"M1"
"MEIS2"	"M1"
"HIST1H3D"	"M5"
"FERMT1"	"M2"
"HAP1"	"M4"
"BMP8B"	"M2"
"C2orf88"	"M1"
"B3GALT6"	"M6"
"C2orf82"	"M1"
"SLITRK3"	"M2"
"PLPPR1"	"M2"
"S100A1"	"M1"
"NXPH1"	"M2"
"TRIM67"	"M2"
"SUSD5"	"M2"
"APOC2"	"M1"
"CHST9"	"M2"
"EPHA3"	"M5"
"DSCAML1"	"M2"
"COL8A1"	"M4"
"ADARB2"	"M2"
"ASIC4"	"M2"
"GYG2"	"M1"
"ELAVL4"	"M3"
"CAMK2A"	"M3"
"ELFN1"	"M2"
"HIST2H2AC"	"M5"
"UNC5D"	"Not.Correlated"
"HCN2"	"M1"
"DGKB"	"M2"
"SORCS1"	"M2"
"IGSF21"	"M2"
"MGP"	"M4"
"INA"	"M3"
"TMEM119"	"M1"
"SHANK1"	"M3"
"PTPRN"	"M3"
"DLK1"	"M4"
"ADM"	"M4"
"SGCD"	"M2"
"IRX1"	"M2"
"KNDC1"	"M1"
"BRINP1"	"M2"
"CTNNA3"	"M1"
"TRPM3"	"M1"
"HES5"	"M5"
"TSHZ2"	"M2"
"CHD5"	"M3"
"FZD7"	"M5"
"CXCL14"	"M4"
"CDON"	"Not.Correlated"
"CACNG8"	"M2"
"SH3GL2"	"M2"
"NKX2-2"	"M2"
"NEFH"	"M1"
"RIMS1"	"M3"
"OXTR"	"M4"
"GRIN2A"	"M3"
"DOC2B"	"M3"
"HIST1H2BG"	"M5"
"HS3ST1"	"M2"
"TMEM163"	"M2"
"B3GNT7"	"M2"
"FMOD"	"M4"
"SMIM10L1"	"M6"
"HIST1H1D"	"M5"
"NEU4"	"M2"
"SORCS3"	"M2"
"AZGP1"	"M2"
"PIEZO2"	"M2"
"CDH13"	"M2"
"HIST1H3C"	"M5"
"EYA1"	"M2"
"NEGR1"	"M2"
"HIST1H2BF"	"M5"
"RPH3A"	"M3"
"GNAL"	"M2"
"CCL4"	"M4"
"SYNDIG1"	"M1"
"ABI3BP"	"M1"
"ADCY8"	"M1"
"SLC7A2"	"M1"
"KCNC1"	"M3"
"CCL2"	"M4"
"RAB3B"	"M3"
"PHYHIP"	"M3"
"HLA-DRB5"	"M4"
"ETNPPL"	"M1"
"TAGLN3"	"M3"
"DLX1"	"M5"
"IGF2BP3"	"M5"
"SCN3B"	"M3"
"CBSL"	"M5"
"CRABP1"	"M1"
"TNFRSF12A"	"M4"
"PEX5L"	"M1"
"HAPLN2"	"M1"
"SLITRK1"	"M2"
"MRO"	"M1"
"PPFIA2"	"M2"
"DDX3Y"	"Not.Correlated"
"CHRDL1"	"Not.Correlated"
"FGF14"	"M2"
"CTHRC1"	"M4"
"LHFPL4"	"M3"
"NRGN"	"M3"
"SPON2"	"M4"
"GRM5"	"M3"
"HS3ST3B1"	"M4"
"TMEM132C"	"M2"
"IRX2"	"M2"
"IGSF1"	"M1"
"SLCO1A2"	"M1"
"HIST1H2BN"	"M5"
"LGI3"	"M1"
"FAM135B"	"M2"
"ASXL3"	"M5"
"PLD4"	"M1"
"ZNF536"	"M3"
"COL2A1"	"M5"
"SPRED3"	"M4"
"SCN9A"	"M2"
"SYT13"	"M3"
"ABCC3"	"M4"
"PAGR1"	"M6"
"HIST2H3A"	"M5"
"CELF3"	"M3"
"SLC17A7"	"M3"
"ANKRD20A1"	"M5"
"DNAH2"	"M2"
"HIST1H3F"	"M5"
"ARHGAP36"	"M1"
"HIST1H3G"	"M5"
"IGLON5"	"M2"
"MYO5B"	"M5"
"SOX1"	"M2"
"POU3F4"	"M1"
"RAB3C"	"M3"
"SPOCK3"	"M1"
"HIST1H3H"	"M5"
"SLC7A14"	"M3"
"BOK"	"M1"
"FAT2"	"M1"
"LGI4"	"M1"
"CNGA3"	"M1"
"KDM5D"	"Not.Correlated"
"CHRNA4"	"M2"
"CRTAC1"	"M1"
"HLA-DOA"	"M1"
"HIST1H2AI"	"M5"
"CNTNAP4"	"M1"
"HIST1H2BH"	"M5"
"XKR4"	"M3"
"PCSK2"	"M3"
"CXorf57"	"M2"
"HIST1H2BE"	"M5"
"USP9Y"	"Not.Correlated"
"SOD3"	"M1"
"PIRT"	"M1"
"CH25H"	"M4"
"PCDH8"	"M3"
"FAM155A"	"M2"
"PDLIM4"	"Not.Correlated"
"ALK"	"Not.Correlated"
"RGS4"	"Not.Correlated"
"TAC3"	"Not.Correlated"
"HIST1H3I"	"M5"
"NLGN4Y"	"M5"
"SEMA3A"	"M2"
"RASGRF1"	"M3"
"HAS2"	"M2"
"GALR1"	"M2"
"ARPP21"	"M3"
"PACSIN1"	"M3"
"TRPM8"	"M4"
"ATP8A2"	"M3"
"CPLX1"	"M3"
"SLC14A1"	"M1"
"GABRG1"	"M3"
"STAC2"	"M6"
"F5"	"M2"
"APOL4"	"M4"
"HSPA6"	"M4"
"PRODH"	"M1"
"CHRM3"	"M4"
"SYN2"	"M3"
"CHADL"	"M1"
"FAM184B"	"M2"
"QPRT"	"M1"
"SPTB"	"M3"
"SLC24A4"	"M1"
"CMTM5"	"M1"
"CDKN2B"	"M4"
"TOX3"	"M2"
"GPR27"	"M1"
"CDKN2A"	"M4"
"LY6H"	"M2"
"CYP1B1"	"M4"
"NETO1"	"M2"
"ADAMTS15"	"M2"
"GSG1L"	"M2"
"TMEM151B"	"M3"
"SLC8A3"	"M2"
"TMEM130"	"M3"
"SHD"	"M2"
"MMP9"	"M4"
"DNAH9"	"Not.Correlated"
"FAM89A"	"M2"
"SLC10A4"	"Not.Correlated"
"INSM1"	"M3"
"HIST1H4B"	"M5"
"PCSK1"	"M4"
"RTN4RL2"	"M2"
"MFAP4"	"M1"
"VSNL1"	"M3"
"GSTM1"	"Not.Correlated"
"MMD2"	"M2"
"GABRA2"	"M3"
"RARRES2"	"Not.Correlated"
"ALDH1A3"	"M4"
"RET"	"M1"
"BTBD17"	"M2"
"LOX"	"M4"
"TMEFF2"	"M2"
"CCL3L3"	"M4"
"HIST1H2BJ"	"M5"
"CELF5"	"M3"
"IL33"	"M1"
"NPIPA5"	"Not.Correlated"
"FA2H"	"M1"
"HIST1H2AM"	"M5"
"KCNG1"	"M6"
"SV2B"	"M3"
"FOXJ1"	"M1"
"DLX2"	"M5"
"IGFN1"	"M1"
"KLHL4"	"Not.Correlated"
"ADAMTS3"	"Not.Correlated"
"STC2"	"M2"
"STXBP5L"	"M3"
"TMEM151A"	"M1"
"IL1B"	"M4"
"GDAP1L1"	"M3"
"CCL4L2"	"M4"
"SEMA3D"	"M2"
"SLC8A2"	"M3"
"KIAA1644"	"M3"
"CACNA1B"	"M3"
"BTBD11"	"M4"
"CCDC184"	"M2"
"GABRQ"	"M2"
"ADAMTSL1"	"Not.Correlated"
"LHX2"	"M5"
"BEST3"	"M5"
"CYP26B1"	"M1"
"NTSR2"	"M1"
"ELMOD1"	"M2"
"CNDP1"	"M1"
"HIST1H2BO"	"M5"
"EXTL1"	"M1"
"NBDY"	"M6"
"ISLR"	"M4"
"CDH10"	"M2"
"TRH"	"M4"
"NKAIN1"	"M2"
"SPHKAP"	"M3"
"TFCP2L1"	"M4"
"ACHE"	"M6"
"LOXL1"	"M4"
"SCN7A"	"M2"
"PRIMA1"	"M1"
"PPP1R1A"	"M1"
"C4orf48"	"M6"
"ANKRD20A2"	"M5"
"ZNF365"	"M1"
"SYT4"	"M3"
"GABRA3"	"M2"
"CALB1"	"M2"
"SLC6A15"	"M3"
"MYO7B"	"M1"
"MGAT4C"	"M3"
"SPSB4"	"M2"
"SIGLEC1"	"M4"
"CNTNAP5"	"M2"
"CLVS2"	"M3"
"SLC12A5"	"M3"
"DCHS2"	"M2"
"AKR1C1"	"M1"
"VSTM2L"	"M3"
"PCDHGA11"	"M5"
"DLGAP3"	"M3"
"ARSJ"	"M4"
"PRG4"	"M4"
"PCDHA4"	"M5"
"CA8"	"M1"
"ITGB3"	"M4"
"FZD8"	"M4"
"FAM189A2"	"M1"
"MYT1L"	"M3"
"LGI1"	"M1"
"ADIRF"	"M1"
"HIST1H4D"	"M5"
"FBN3"	"M2"
"PI16"	"M1"
"KLRC2"	"M2"
"ADAP1"	"M1"
"CAMK2N2"	"M3"
"SMIM10L2A"	"M1"
"SLC6A17"	"M3"
"SNCB"	"M3"
"HMX1"	"M2"
"GOLGA7B"	"M1"
"ENPP5"	"M2"
"LRRC7"	"M3"
"ENPP6"	"M2"
"OSR1"	"M2"
"UBE2QL1"	"M3"
"EDN3"	"M1"
"HMGA2"	"M4"
"PAX3"	"M2"
"GNG3"	"M3"
"CITED1"	"M4"
"C10orf105"	"M1"
"EPHA7"	"M3"
"NTNG1"	"M2"
"NAP1L2"	"M2"
"ADAMTS17"	"M2"
"TGFA"	"M2"
"IQSEC3"	"M3"
"SLC4A10"	"M3"
"NOS1"	"M3"
"STC1"	"M4"
"LRRTM4"	"M2"
"RYR2"	"M3"
"KIF19"	"M2"
"GAL3ST1"	"M2"
"LGR5"	"M2"
"DDN"	"M3"
"WIF1"	"M3"
"ZACN"	"M6"
"ST18"	"M1"
"ELAVL2"	"M3"
"RAB27B"	"M2"
"MPZ"	"M2"
"GDF15"	"M4"
"RASL10A"	"M1"
"ST8SIA2"	"M3"
"AIFM3"	"M1"
"KSR2"	"M3"
"GREM1"	"M1"
"ANGPTL1"	"M1"
"DIRAS3"	"M4"
"HIST3H2BB"	"M5"
"EPHA5"	"M3"
"FXYD1"	"M1"
"MFAP2"	"M2"
"TPGS1"	"M6"
"NRG3"	"M1"
"PCDHGA8"	"M5"
"PCDH20"	"M2"
"CPNE6"	"M1"
"LUM"	"M4"
"GRIK1"	"M1"
"PLPP4"	"M2"
"C1QL4"	"M2"
"RIMBP2"	"M3"
"POLR2J2"	"M1"
"NR2E1"	"M5"
"IL13RA2"	"M2"
"DNAH11"	"M5"
"CDH19"	"M2"
"HIST1H2AL"	"M5"
"NKAIN2"	"M1"
"NDNF"	"M1"
"AK5"	"M1"
"KIRREL3"	"M3"
"PHF24"	"M3"
"CA3"	"M1"
"FGF13"	"M3"
"IFITM10"	"M1"
"CDH8"	"M3"
"ETV4"	"M4"
"HS3ST3A1"	"M4"
"DACH1"	"M1"
"EYA4"	"Not.Correlated"
"TTC9B"	"M3"
"PLPPR5"	"M2"
"EPOP"	"M6"
"VSTM2B"	"M2"
"UTY"	"Not.Correlated"
"SYNGR3"	"M3"
"TMEM100"	"M2"
"PRPH"	"M2"
"BCL11B"	"M3"
"GPC3"	"M2"
"HIST2H3D"	"M5"
"SP9"	"M5"
"PCP4"	"M1"
"HHIP"	"M1"
"AKR1C3"	"M1"
"HAPLN4"	"M2"
"HIST1H2BL"	"M5"
"PRR18"	"M1"
"CHGA"	"M3"
"ALPK2"	"M5"
"HIST1H2AD"	"M5"
"NKAIN3"	"M5"
"KIF20A"	"M5"
"S100A9"	"M4"
"ISLR2"	"M3"
"VWC2"	"M3"
"PTPN5"	"M3"
"RAB33A"	"M2"
"CELF4"	"M3"
"KLHL32"	"M2"
"RPE65"	"M1"
"MEGF6"	"M1"
"TRNP1"	"M6"
"SLITRK4"	"M2"
"NECAB1"	"M6"
"SLC22A3"	"M2"
"LRFN5"	"M2"
"TSHR"	"M1"
"LRP2"	"M1"
"GALNT9"	"M3"
"CUX2"	"M3"
"KCNA1"	"M3"
"CHST8"	"M2"
"DLX5"	"M5"
"WISP1"	"M4"
"SPX"	"M1"
"C1QL2"	"M2"
"PLCH2"	"M1"
"LIF"	"M4"
"PPL"	"M5"
"GLRA3"	"M3"
"CALB2"	"M1"
"C2orf40"	"M1"
"ADAMTS14"	"M4"
"RGN"	"M1"
"THNSL2"	"M1"
"RGPD2"	"Not.Correlated"
"TBC1D3L"	"Not.Correlated"
"UNC13C"	"M3"
"SULT4A1"	"M3"
"CRLF1"	"M1"
"IGF2BP1"	"M5"
"ADRA1A"	"M3"
"GRM4"	"M3"
"PIFO"	"M1"
"SCRT1"	"M3"
"NXPH4"	"M4"
"NKX6-2"	"M1"
"JAKMIP1"	"M3"
"FOLH1"	"M1"
"ANGPT1"	"M1"
"GFRA2"	"M3"
"GREB1L"	"M2"
"MSTN"	"M1"
"PRDM8"	"M3"
"CAMSAP3"	"M3"
"HIST1H2AH"	"M5"
"TMEM132D"	"M3"
"FNDC10"	"M6"
"TACR1"	"M2"
"RASGEF1C"	"M1"
"HIST1H4I"	"M5"
"TMPRSS9"	"M2"
"GABRD"	"M3"
"PLPPR3"	"M3"
"HRK"	"M3"
"TMEM179"	"M3"
"KCNK3"	"M3"
"DES"	"M4"
"KLK6"	"M1"
"STXBP6"	"M3"
"PCDHA3"	"M3"
"PDZRN4"	"M2"
"GRIN2C"	"M1"
"ST6GALNAC5"	"Not.Correlated"
"CDH22"	"M1"
"CCDC8"	"M5"
"SRRM4"	"M3"
"PKIB"	"M6"
"HIST2H2AB"	"M5"
"CREB3L1"	"M4"
"RASGEF1A"	"M1"
"COL23A1"	"M4"
"GAD2"	"M3"
"SP8"	"M5"
"LRAT"	"M1"
"NECAB2"	"M1"
"PTGS2"	"M4"
"BEND4"	"M2"
"USP43"	"M2"
"DLGAP5"	"M5"
"KCNE5"	"M1"
"FSTL5"	"M3"
"PLEKHG4B"	"Not.Correlated"
"KCNH7"	"M5"
"CPAMD8"	"M1"
"CBLN1"	"M3"
"OTX1"	"M5"
"CABP7"	"M3"
"MUC12"	"M2"
"C1QTNF4"	"M3"
"GPC5"	"M1"
"KCNJ6"	"M3"
"UNC5A"	"M3"
"GABRB2"	"M3"
"HMCN2"	"M2"
"GABRB1"	"M5"
"WFIKKN2"	"M1"
"HS6ST3"	"M3"
"PLCXD3"	"M1"
"KCNK2"	"M2"
"NANOS1"	"M2"
"LRRTM1"	"M2"
"MTMR7"	"M2"
"SH3GL3"	"M1"
"NAALAD2"	"M2"
"AMZ1"	"M2"
"RBFOX1"	"M3"
"SNCG"	"M1"
"E2F2"	"M5"
"GPR12"	"M3"
"PENK"	"M2"
"PI15"	"M2"
"NRG1"	"M2"
"HIST1H2AJ"	"M5"
"RPP25"	"M1"
"FOLR2"	"M1"
"EBF3"	"M3"
"MYH11"	"M4"
"MELK"	"M5"
"MAL"	"M1"
"PCDHA6"	"M5"
"ABCC8"	"M3"
"HIST1H3J"	"M5"
"KCNK10"	"M2"
"RBFOX3"	"M3"
"SIK1"	"Not.Correlated"
"EVA1B"	"M4"
"MAB21L1"	"M1"
"HIST1H4A"	"M5"
"NRSN1"	"M3"
"CCDC85A"	"M1"
"KCNK1"	"M1"
"WDR86"	"M2"
"HIST1H2AB"	"M5"
"PXDNL"	"M5"
"TMSB15A"	"M2"
"GJB1"	"M1"
"FAM196A"	"M4"
"ZNF724"	"M5"
"COL25A1"	"M1"
"HIST1H2BB"	"M5"
"LRRC61"	"M1"
"SV2C"	"M3"
"SYT9"	"M1"
"RPRM"	"M2"
"FOXP2"	"M1"
"C7"	"M4"
"PAK5"	"M3"
"ENTPD2"	"M1"
"CNTN3"	"M2"
"PRSS12"	"M1"
"LGR6"	"Not.Correlated"
"NPPA"	"M2"
"VSTM2A"	"M3"
"FAM181A"	"M1"
"MYO3A"	"M5"
"ARX"	"M5"
"CACNG5"	"M5"
"SEC14L5"	"M1"
"CPNE4"	"M5"
"MCHR1"	"M4"
"IRX5"	"M2"
"IGFBPL1"	"M5"
"RGS8"	"M3"
"PCDHA9"	"M5"
"PCDH11Y"	"M3"
"FLG"	"M6"
"COL4A6"	"Not.Correlated"
"RBM20"	"M1"
"TBR1"	"M5"
"SOX3"	"M2"
"C2CD4C"	"M2"
"CLEC2B"	"M2"
"DNAH14"	"M5"
"CHAD"	"M2"
"SPRN"	"M3"
"ANKRD20A3"	"M5"
"MEOX2"	"Not.Correlated"
"OPRD1"	"M3"
"LMO1"	"Not.Correlated"
"APCDD1L"	"M4"
"RASSF9"	"M1"
"CDH1"	"M2"
"CKMT1B"	"M3"
"SLC39A12"	"M1"
"ASPA"	"M1"
"EOMES"	"M4"
"F8A3"	"Not.Correlated"
"CDK5R2"	"M3"
"HIST4H4"	"M5"
"MAB21L2"	"M1"
"PANX2"	"M3"
"ZFY"	"Not.Correlated"
"ZIC4"	"Not.Correlated"
"STON1-GTF2A1L"	"M5"
"ARHGEF5"	"M2"
"ESPN"	"M4"
"OPALIN"	"M1"
"C10orf90"	"M1"
"MAGEL2"	"M2"
"MYBPC1"	"M1"
"KCNJ3"	"M3"
"KCNK9"	"M2"
"FAM43B"	"M6"
"GBX2"	"M1"
"DBX2"	"M1"
"LINC00672"	"M1"
"NKX6-1"	"M1"
"ATP2B3"	"M3"
"EFNA5"	"Not.Correlated"
"HIST1H2BM"	"M5"
"BEAN1"	"M2"
"IGSF9"	"M2"
"CXCL8"	"M4"
"HOXB2"	"Not.Correlated"
"LINGO3"	"M2"
"SLC47A2"	"M1"
"SSTR1"	"M3"
"CLGN"	"M2"
"RAMP3"	"M1"
"NPY"	"M5"
"LINC00116"	"M6"
"WFDC1"	"M2"
"IRX3"	"M1"
"ERICH3"	"M3"
"LCNL1"	"M1"
"CITED4"	"M6"
"HPSE2"	"M1"
"GABRA5"	"M3"
"RAB7B"	"M6"
"CREG2"	"M3"
"HRASLS"	"M2"
"PLIN4"	"M1"
"LRRC10B"	"M1"
"ROR2"	"M2"
"MMP19"	"M4"
"DACH2"	"M2"
"GPRC5A"	"M4"
"SYN3"	"M3"
"COL19A1"	"M2"
"IGFBP6"	"M4"
"DSG2"	"M4"
"TCEAL6"	"M2"
"GABRG2"	"M3"
"RGR"	"M1"
"ADAMTS5"	"M1"
"HTRA3"	"M4"
"FAM50B"	"M1"
"RALYL"	"M2"
"RSPH1"	"M1"
"IQCA1"	"M1"
"C5orf49"	"M1"
"ONECUT2"	"M5"
"S100A4"	"M4"
"FGFBP2"	"M2"
"CA9"	"M4"
"SAMD11"	"M6"
"FXYD7"	"M3"
"PKP2"	"M1"
"STPG1"	"M1"
"AURKB"	"M5"
"PLA2G2A"	"M4"
"HOXB3"	"Not.Correlated"
"IRS4"	"M1"
"SVOP"	"M3"
"CCSER1"	"M3"
"HOXA3"	"M1"
"WNT7A"	"M1"
"ACKR1"	"M2"
"TP73"	"Not.Correlated"
"CCDC152"	"M1"
"SHH"	"M3"
"KCNT1"	"M3"
"ARHGDIG"	"M3"
"CYB5R2"	"M1"
"DLX6"	"M5"
"HHATL"	"M1"
"HIST1H2BI"	"M5"
"NTSR1"	"M3"
"CXCL2"	"M1"
"SYT2"	"M3"
"PRSS35"	"M1"
"HOXD3"	"M2"
"FAM110C"	"M1"
"SCN5A"	"M2"
"NPIPA8"	"Not.Correlated"
"DACT2"	"M2"
"SIGLEC14"	"M1"
"HCN4"	"M2"
"ECEL1"	"Not.Correlated"
"ANKRD20A4"	"M5"
"RIT2"	"M2"
"PCDHA2"	"M2"
"GDA"	"M3"
"JSRP1"	"M6"
"ITGBL1"	"Not.Correlated"
"TKTL1"	"M2"
"CR1"	"M4"
"TRHDE"	"M3"
"ZNF560"	"M5"
"RXRG"	"M1"
"KCNA5"	"M2"
"GRIP1"	"M2"
"EIF1AY"	"Not.Correlated"
